,EU27,EU6,EU9,EU10,EU12,EU15,EU25,FI/ AT / SE,NEM10,NEM12,NEM13,NON EURO,EURO ZONE,EU largest 6,TR+MK+ME+RS+AL,EFTA: IS+NO+CH,US,ALL
base_total,8194.0,1934.0,2811.0,3193.0,3841.0,4790.0,7510.0,949.0,2720.0,3358.0,3659.0,2265.0,5929.0,2013.0,1042.0,841.0,295.0,10685.0
base_weighted_total,7079.0,1705.0,2478.0,2792.0,3360.0,4152.0,6493.0,750.0,2218.0,2808.0,3047.0,1835.0,5227.0,1781.0,1090.0,721.0,259.0,9395.0
no_recycled_materials_are_being_used,2742.0,603.0,877.0,999.0,1175.0,1458.0,2433.0,278.0,1055.0,1388.0,1500.0,915.0,1849.0,665.0,604.0,200.0,112.0,3838.0
no_recycled_materials_are_being_used_percentage,38.7,35.4,35.4,35.8,35.0,35.1,37.5,37.0,47.5,49.4,49.2,49.9,35.4,37.3,55.4,27.7,43.5,40.9
less_than_5_,1534.0,389.0,588.0,655.0,811.0,978.0,1473.0,112.0,420.0,512.0,558.0,298.0,1218.0,422.0,255.0,164.0,45.0,2051.0
less_than_5__percentage,21.7,22.8,23.7,23.5,24.1,23.6,22.7,15.0,18.9,18.2,18.3,16.2,23.3,23.7,23.3,22.7,17.4,21.8
between_5_19_,1347.0,367.0,515.0,576.0,675.0,833.0,1241.0,147.0,335.0,414.0,448.0,273.0,1061.0,323.0,118.0,173.0,34.0,1619.0
between_5_19__percentage,19.0,21.5,20.8,20.6,20.1,20.1,19.1,19.6,15.1,14.8,14.7,14.9,20.3,18.1,10.8,24.0,13.0,17.2
between_20_49_,662.0,176.0,268.0,303.0,359.0,445.0,651.0,85.0,156.0,176.0,191.0,122.0,531.0,155.0,74.0,46.0,24.0,869.0
between_20_49__percentage,9.4,10.3,10.8,10.8,10.7,10.7,10.0,11.3,7.1,6.3,6.3,6.7,10.2,8.7,6.8,6.4,9.3,9.3
between_50_74_,209.0,45.0,64.0,71.0,86.0,114.0,186.0,39.0,77.0,102.0,108.0,71.0,140.0,49.0,4.0,18.0,16.0,285.0
between_50_74__percentage,3.0,2.7,2.6,2.6,2.6,2.7,2.9,5.2,3.5,3.6,3.6,3.9,2.7,2.8,0.3,2.5,6.2,3.0
75_and_more,192.0,30.0,46.0,54.0,93.0,118.0,176.0,29.0,47.0,62.0,68.0,47.0,144.0,57.0,20.0,21.0,10.0,258.0
75_and_more_percentage,2.7,1.8,1.8,1.9,2.8,2.8,2.7,3.9,2.1,2.2,2.2,2.6,2.8,3.2,1.9,2.9,3.7,2.7
don_t_know_no_answer,392.0,95.0,121.0,133.0,160.0,206.0,333.0,60.0,129.0,154.0,173.0,108.0,284.0,109.0,16.0,100.0,18.0,476.0
don_t_know_no_answer_percentage,5.5,5.6,4.9,4.8,4.8,5.0,5.1,8.0,5.8,5.5,5.7,5.9,5.4,6.1,1.4,13.8,6.9,5.1
