,EU27,EU6,EU9,EU10,EU12,EU15,EU25,FI/ AT / SE,NEM10,NEM12,NEM13,NON EURO,EURO ZONE,EU largest 6,TR+MK+ME+RS+AL,EFTA: IS+NO+CH,US,ALL
base_total,12184.0,2873.0,4146.0,4665.0,5721.0,7139.0,11221.0,1418.0,4082.0,5034.0,5469.0,3330.0,8854.0,3143.0,1275.0,1077.0,450.0,15483.0
base_weighted_total,12066.0,2800.0,4090.0,4604.0,5672.0,7046.0,11141.0,1366.0,3987.0,4889.0,5315.0,3176.0,8869.0,3122.0,1334.0,1032.0,447.0,15487.0
nothing,3111.0,678.0,1046.0,1183.0,1426.0,1800.0,2971.0,425.0,1244.0,1450.0,1561.0,947.0,2177.0,796.0,500.0,177.0,86.0,4077.0
nothing_percentage,25.8,24.2,25.6,25.7,25.1,25.6,26.7,31.1,31.2,29.7,29.4,29.8,24.5,25.5,37.5,17.1,19.3,26.3
less_than_1_of_annual_revenue,2692.0,704.0,936.0,1039.0,1170.0,1457.0,2376.0,291.0,955.0,1184.0,1283.0,738.0,1954.0,740.0,153.0,192.0,78.0,3105.0
less_than_1_of_annual_revenue_percentage,22.3,25.1,22.9,22.6,20.6,20.7,21.3,21.3,24.0,24.2,24.1,23.2,22.0,23.7,11.4,18.6,17.5,20.0
1_5_of_annual_revenue,3314.0,682.0,1005.0,1154.0,1584.0,1962.0,3037.0,366.0,992.0,1246.0,1367.0,809.0,2490.0,843.0,337.0,343.0,129.0,4251.0
1_5_of_annual_revenue_percentage,27.5,24.4,24.6,25.1,27.9,27.8,27.3,26.8,24.9,25.5,25.7,25.5,28.1,27.0,25.3,33.2,29.0,27.4
6_10_of_annual_turnover,1013.0,208.0,313.0,362.0,472.0,590.0,917.0,123.0,304.0,410.0,444.0,268.0,744.0,253.0,146.0,117.0,49.0,1392.0
6_10_of_annual_turnover_percentage,8.4,7.4,7.7,7.9,8.3,8.4,8.2,9.0,7.6,8.4,8.4,8.4,8.4,8.1,10.9,11.4,10.9,9.0
11_30_of_annual_turnover,380.0,75.0,113.0,131.0,170.0,216.0,341.0,55.0,122.0,158.0,174.0,119.0,263.0,81.0,51.0,24.0,30.0,563.0
11_30_of_annual_turnover_percentage,3.2,2.7,2.8,2.9,3.0,3.1,3.1,4.0,3.1,3.2,3.3,3.8,3.0,2.6,3.8,2.4,6.7,3.6
more_than_30_of_annual_revenue,286.0,68.0,115.0,127.0,153.0,181.0,280.0,12.0,92.0,128.0,140.0,86.0,202.0,77.0,45.0,38.0,5.0,381.0
more_than_30_of_annual_revenue_percentage,2.4,2.4,2.8,2.7,2.7,2.6,2.5,0.9,2.3,2.6,2.6,2.7,2.3,2.5,3.4,3.7,1.1,2.5
don_t_know_no_answer,1269.0,386.0,561.0,608.0,697.0,839.0,1218.0,94.0,279.0,313.0,346.0,209.0,1040.0,332.0,102.0,142.0,70.0,1719.0
don_t_know_no_answer_percentage,10.5,13.8,13.7,13.2,12.3,11.9,10.9,6.9,7.0,6.4,6.5,6.6,11.7,10.6,7.7,13.7,15.6,11.1
