,EU27,EU6,EU9,EU10,EU12,EU15,EU25,FI/ AT / SE,NEM10,NEM12,NEM13,NON EURO,EURO ZONE,EU largest 6,TR+MK+ME+RS+AL,EFTA: IS+NO+CH,US,ALL
base_total,12184.0,2873.0,4146.0,4665.0,5721.0,7139.0,11221.0,1418.0,4082.0,5034.0,5469.0,3330.0,8854.0,3143.0,1275.0,1077.0,450.0,15483.0
base_weighted_total,12066.0,2800.0,4090.0,4604.0,5672.0,7046.0,11141.0,1366.0,3987.0,4889.0,5315.0,3176.0,8869.0,3122.0,1334.0,1032.0,447.0,15487.0
significantly_decreased,490.0,103.0,180.0,206.0,271.0,333.0,485.0,55.0,114.0,149.0,170.0,100.0,385.0,97.0,99.0,30.0,13.0,684.0
significantly_decreased_percentage,4.1,3.7,4.4,4.5,4.8,4.7,4.4,4.0,2.9,3.1,3.2,3.2,4.3,3.1,7.4,2.9,2.8,4.4
slightly_decreased,3126.0,656.0,919.0,1055.0,1316.0,1668.0,2738.0,410.0,1125.0,1467.0,1602.0,913.0,2220.0,744.0,449.0,211.0,85.0,3876.0
slightly_decreased_percentage,25.9,23.4,22.5,22.9,23.2,23.7,24.6,30.0,28.2,30.0,30.1,28.7,25.0,23.8,33.6,20.4,18.9,25.0
slightly_increased,2380.0,528.0,808.0,905.0,1171.0,1455.0,2256.0,284.0,743.0,893.0,969.0,594.0,1777.0,627.0,161.0,274.0,116.0,3136.0
slightly_increased_percentage,19.7,18.9,19.8,19.7,20.6,20.7,20.3,20.8,18.6,18.3,18.2,18.7,20.0,20.1,12.1,26.5,25.9,20.3
significantly_increased,1884.0,504.0,671.0,745.0,913.0,1089.0,1700.0,91.0,577.0,692.0,745.0,459.0,1417.0,616.0,328.0,108.0,107.0,2642.0
significantly_increased_percentage,15.6,18.0,16.4,16.2,16.1,15.5,15.3,6.7,14.5,14.1,14.0,14.4,16.0,19.7,24.6,10.4,24.0,17.1
not_changed_do_not_read_out_,2899.0,682.0,1020.0,1161.0,1412.0,1782.0,2752.0,419.0,890.0,1047.0,1133.0,702.0,2183.0,731.0,191.0,283.0,77.0,3496.0
not_changed_do_not_read_out__percentage,24.0,24.3,24.9,25.2,24.9,25.3,24.7,30.7,22.3,21.4,21.3,22.1,24.6,23.4,14.3,27.4,17.2,22.6
don_t_know_no_answer,1288.0,327.0,490.0,532.0,589.0,719.0,1210.0,106.0,538.0,640.0,697.0,408.0,888.0,307.0,106.0,128.0,50.0,1654.0
don_t_know_no_answer_percentage,10.7,11.7,12.0,11.6,10.4,10.2,10.9,7.8,13.5,13.1,13.1,12.8,10.0,9.8,8.0,12.4,11.1,10.7
total_decreased_,3615.0,759.0,1100.0,1260.0,1587.0,2001.0,3223.0,465.0,1239.0,1617.0,1771.0,1013.0,2605.0,841.0,547.0,241.0,97.0,4560.0
total_decreased__percentage,30.0,27.1,26.9,27.4,28.0,28.4,28.9,34.1,31.1,33.1,33.3,31.9,29.4,26.9,41.0,23.4,21.7,29.4
total_increased_,4264.0,1032.0,1479.0,1650.0,2084.0,2544.0,3956.0,376.0,1320.0,1585.0,1714.0,1053.0,3194.0,1243.0,489.0,381.0,223.0,5778.0
total_increased__percentage,35.3,36.9,36.2,35.8,36.7,36.1,35.5,27.5,33.1,32.4,32.2,33.2,36.0,39.8,36.6,36.9,50.0,37.3
