,EU27,EU6,EU9,EU10,EU12,EU15,EU25,FI/ AT / SE,NEM10,NEM12,NEM13,NON EURO,EURO ZONE,EU largest 6,TR+MK+ME+RS+AL,EFTA: IS+NO+CH,US,ALL
base_total,4280.0,1124.0,1592.0,1823.0,2162.0,2800.0,4084.0,638.0,1284.0,1511.0,1630.0,1056.0,3224.0,1035.0,397.0,556.0,162.0,5573.0
base_weighted_total,4168.0,1039.0,1478.0,1682.0,2048.0,2561.0,3865.0,543.0,1116.0,1327.0,1442.0,874.0,3255.0,1060.0,229.0,555.0,166.0,5171.0
up_to_5_,1312.0,354.0,469.0,525.0,638.0,787.0,1177.0,140.0,323.0,401.0,432.0,261.0,1037.0,360.0,107.0,133.0,56.0,1634.0
up_to_5__percentage,31.5,34.1,31.7,31.2,31.1,30.7,30.4,25.8,28.9,30.2,29.9,29.9,31.9,34.0,46.5,24.0,33.5,31.6
6_10_,512.0,108.0,145.0,170.0,235.0,295.0,445.0,67.0,127.0,164.0,180.0,102.0,404.0,132.0,52.0,112.0,28.0,680.0
6_10__percentage,12.3,10.4,9.8,10.1,11.5,11.5,11.5,12.4,11.4,12.4,12.5,11.7,12.4,12.5,22.7,20.1,16.9,13.2
11_30_,637.0,164.0,228.0,269.0,308.0,375.0,585.0,51.0,198.0,236.0,256.0,138.0,494.0,151.0,28.0,100.0,18.0,751.0
11_30__percentage,15.3,15.8,15.4,16.0,15.1,14.6,15.1,9.4,17.7,17.8,17.7,15.8,15.2,14.2,12.3,18.0,11.1,14.5
31_50_,274.0,45.0,74.0,85.0,113.0,152.0,257.0,63.0,114.0,129.0,143.0,88.0,188.0,56.0,9.0,60.0,13.0,355.0
31_50__percentage,6.6,4.3,5.0,5.1,5.5,6.0,6.6,11.5,10.2,9.8,9.9,10.0,5.8,5.3,3.8,10.8,8.1,6.9
51_75_,231.0,57.0,80.0,90.0,108.0,143.0,216.0,49.0,64.0,72.0,78.0,35.0,192.0,54.0,23.0,28.0,8.0,288.0
51_75__percentage,5.5,5.5,5.4,5.4,5.3,5.6,5.6,9.1,5.7,5.4,5.4,4.0,5.9,5.1,9.9,5.1,4.5,5.6
more_than_75_,753.0,199.0,307.0,353.0,416.0,522.0,746.0,115.0,151.0,171.0,189.0,132.0,611.0,175.0,6.0,76.0,12.0,848.0
more_than_75__percentage,18.1,19.2,20.8,21.0,20.3,20.4,19.3,21.2,13.6,12.9,13.1,15.1,18.8,16.5,2.8,13.6,7.1,16.4
don_t_know_no_answer,449.0,111.0,175.0,189.0,230.0,286.0,440.0,58.0,139.0,153.0,164.0,119.0,329.0,131.0,5.0,47.0,31.0,615.0
don_t_know_no_answer_percentage,10.8,10.7,11.9,11.3,11.2,11.2,11.4,10.7,12.5,11.5,11.4,13.6,10.1,12.4,2.0,8.4,18.8,11.9
