,EU27,EU6,EU9,EU10,EU12,EU15,EU25,FI/ AT / SE,NEM10,NEM12,NEM13,NON EURO,EURO ZONE,EU largest 6,TR+MK+ME+RS+AL,EFTA: IS+NO+CH,US,ALL
base_total,2258.0,570.0,767.0,868.0,1052.0,1262.0,2065.0,210.0,803.0,990.0,1062.0,714.0,1544.0,579.0,215.0,204.0,43.0,2797.0
base_weighted_total,1550.0,322.0,501.0,569.0,710.0,888.0,1475.0,187.0,630.0,730.0,791.0,490.0,1069.0,361.0,53.0,149.0,44.0,1848.0
less_than_5_,221.0,53.0,83.0,98.0,117.0,147.0,212.0,32.0,46.0,66.0,72.0,42.0,176.0,52.0,13.0,18.0,8.0,283.0
less_than_5__percentage,14.3,16.4,16.6,17.2,16.5,16.6,14.4,17.4,7.3,9.1,9.0,8.6,16.5,14.6,24.9,11.9,18.7,15.3
between_5_19_,314.0,80.0,127.0,138.0,163.0,211.0,313.0,64.0,83.0,92.0,102.0,59.0,251.0,67.0,6.0,26.0,5.0,359.0
between_5_19__percentage,20.3,24.7,25.3,24.3,22.9,23.7,21.2,34.2,13.1,12.6,12.9,12.1,23.5,18.5,10.5,17.5,11.7,19.4
between_20_49_,359.0,68.0,125.0,145.0,168.0,207.0,378.0,36.0,209.0,225.0,242.0,153.0,213.0,77.0,11.0,40.0,12.0,469.0
between_20_49__percentage,23.2,20.9,25.0,25.4,23.6,23.3,25.6,19.1,33.2,30.8,30.5,31.3,20.0,21.4,21.6,26.7,26.8,25.3
between_50_74_,239.0,33.0,42.0,46.0,80.0,100.0,205.0,21.0,141.0,155.0,167.0,104.0,140.0,55.0,13.0,13.0,3.0,246.0
between_50_74__percentage,15.4,10.2,8.4,8.2,11.3,11.2,13.9,11.0,22.4,21.3,21.1,21.3,13.1,15.4,23.6,8.8,7.0,13.3
75_and_more,263.0,50.0,74.0,89.0,111.0,136.0,235.0,21.0,113.0,145.0,157.0,96.0,170.0,67.0,7.0,24.0,10.0,318.0
75_and_more_percentage,17.0,15.5,14.7,15.6,15.6,15.3,15.9,11.1,17.9,19.8,19.9,19.7,15.9,18.7,14.0,16.5,23.6,17.2
don_t_know_no_answer,154.0,40.0,50.0,54.0,72.0,88.0,132.0,14.0,38.0,47.0,52.0,34.0,119.0,42.0,3.0,28.0,5.0,174.0
don_t_know_no_answer_percentage,10.0,12.3,9.9,9.5,10.1,9.9,9.0,7.3,6.0,6.5,6.5,7.0,11.1,11.5,5.4,18.7,12.2,9.4
