,EU27,EU6,EU9,EU10,EU12,EU15,EU25,FI/ AT / SE,NEM10,NEM12,NEM13,NON EURO,EURO ZONE,EU largest 6,TR+MK+ME+RS+AL,EFTA: IS+NO+CH,US,ALL
base_total,12184.0,2873.0,4146.0,4665.0,5721.0,7139.0,11221.0,1418.0,4082.0,5034.0,5469.0,3330.0,8854.0,3143.0,1275.0,1077.0,450.0,15483.0
base_weighted_total,12066.0,2800.0,4090.0,4604.0,5672.0,7046.0,11141.0,1366.0,3987.0,4889.0,5315.0,3176.0,8869.0,3122.0,1334.0,1032.0,447.0,15487.0
its_own_financial_resources,7312.0,1527.0,2273.0,2607.0,3232.0,4073.0,6657.0,943.0,2696.0,3415.0,3706.0,2155.0,5176.0,1744.0,764.0,615.0,278.0,9374.0
its_own_financial_resources_percentage,60.6,54.5,55.6,56.6,57.0,57.8,59.8,69.0,67.6,69.8,69.7,67.9,58.4,55.8,57.3,59.6,62.2,60.5
its_own_technical_expertise,6007.0,1357.0,2030.0,2273.0,2739.0,3452.0,5672.0,798.0,2339.0,2744.0,2957.0,1772.0,4252.0,1560.0,462.0,467.0,219.0,7567.0
its_own_technical_expertise_percentage,49.8,48.5,49.6,49.4,48.3,49.0,50.9,58.4,58.7,56.1,55.6,55.8,47.9,50.0,34.6,45.2,48.9,48.9
external_support,2745.0,779.0,1125.0,1242.0,1483.0,1820.0,2636.0,294.0,595.0,688.0,746.0,438.0,2262.0,736.0,277.0,392.0,136.0,3724.0
external_support_percentage,22.7,27.8,27.5,27.0,26.1,25.8,23.7,21.5,14.9,14.1,14.0,13.8,25.5,23.6,20.8,37.9,30.5,24.0
other_do_not_read_out_,301.0,72.0,89.0,100.0,151.0,183.0,257.0,22.0,47.0,63.0,70.0,47.0,249.0,85.0,11.0,24.0,8.0,326.0
other_do_not_read_out__percentage,2.5,2.6,2.2,2.2,2.7,2.6,2.3,1.6,1.2,1.3,1.3,1.5,2.8,2.7,0.8,2.3,1.8,2.1
don_t_know_no_answer,685.0,160.0,248.0,270.0,365.0,443.0,669.0,59.0,195.0,211.0,233.0,144.0,535.0,175.0,132.0,76.0,52.0,1079.0
don_t_know_no_answer_percentage,5.7,5.7,6.1,5.9,6.4,6.3,6.0,4.3,4.9,4.3,4.4,4.5,6.0,5.6,9.9,7.3,11.5,7.0
