,EU27,EU6,EU9,EU10,EU12,EU15,EU25,FI/ AT / SE,NEM10,NEM12,NEM13,NON EURO,EURO ZONE,EU largest 6,TR+MK+ME+RS+AL,EFTA: IS+NO+CH,US,ALL
base_total,8194.0,1934.0,2811.0,3193.0,3841.0,4790.0,7510.0,949.0,2720.0,3358.0,3659.0,2265.0,5929.0,2013.0,1042.0,841.0,295.0,10685.0
base_weighted_total,7079.0,1705.0,2478.0,2792.0,3360.0,4152.0,6493.0,750.0,2218.0,2808.0,3047.0,1835.0,5227.0,1781.0,1090.0,721.0,259.0,9395.0
yes_for_all_of_your_products,1566.0,310.0,426.0,489.0,658.0,838.0,1361.0,216.0,539.0,695.0,751.0,461.0,1109.0,366.0,208.0,195.0,57.0,1988.0
yes_for_all_of_your_products_percentage,22.1,18.2,17.2,17.5,19.6,20.2,21.0,28.8,24.3,24.7,24.6,25.1,21.2,20.5,19.1,27.0,22.1,21.2
yes_but_only_for_some_of_your_products,1746.0,429.0,652.0,717.0,902.0,1106.0,1652.0,175.0,451.0,605.0,654.0,393.0,1341.0,424.0,341.0,208.0,65.0,2453.0
yes_but_only_for_some_of_your_products_percentage,24.7,25.1,26.3,25.7,26.9,26.6,25.4,23.3,20.3,21.5,21.5,21.4,25.6,23.8,31.3,28.9,25.0,26.1
no,3652.0,946.0,1373.0,1556.0,1764.0,2162.0,3382.0,341.0,1160.0,1434.0,1560.0,930.0,2711.0,965.0,526.0,278.0,128.0,4784.0
no_percentage,51.6,55.5,55.4,55.7,52.5,52.1,52.1,45.4,52.3,51.1,51.2,50.7,51.9,54.2,48.2,38.6,49.4,50.9
don_t_know_no_answer,115.0,21.0,27.0,29.0,35.0,47.0,98.0,18.0,68.0,74.0,82.0,51.0,66.0,26.0,15.0,40.0,9.0,170.0
don_t_know_no_answer_percentage,1.6,1.2,1.1,1.1,1.0,1.1,1.5,2.4,3.1,2.6,2.7,2.8,1.3,1.5,1.4,5.5,3.6,1.8
total_yes_,3312.0,738.0,1077.0,1206.0,1560.0,1944.0,3012.0,392.0,990.0,1299.0,1405.0,854.0,2450.0,790.0,549.0,403.0,122.0,4441.0
total_yes__percentage,46.8,43.3,43.5,43.2,46.4,46.8,46.4,52.2,44.6,46.3,46.1,46.6,46.9,44.3,50.4,55.9,47.1,47.3
