file_code,group_id,country_code,score
N1a,2,AL,1.237
N1a,2,AT,8.242500000000001
N1a,2,BE,9.8695
N1a,2,BG,6.2345
N1a,2,CH,7.8175
N1a,2,CY,3.2545
N1a,2,CZ,7.8175
N1a,2,DE,9.7385
N1a,2,DK,7.456
N1a,2,EE,7.1255
N1a,2,EL,8.145
N1a,2,ES,8.6565
N1a,2,FI,8.002500000000001
N1a,2,FR,7.847499999999999
N1a,2,HR,6.571000000000001
N1a,2,HU,7.1129999999999995
N1a,2,IE,8.221
N1a,2,IS,4.526999999999999
N1a,2,IT,8.2285
N1a,2,LT,6.9784999999999995
N1a,2,LU,4.414499999999999
N1a,2,LV,6.8055
N1a,2,MD,1.3824999999999998
N1a,2,ME,1.2525
N1a,2,MK,7.226999999999999
N1a,2,MT,3.603
N1a,2,NL,9.235
N1a,2,NO,7.617
N1a,2,PL,8.2245
N1a,2,PT,9.369
N1a,2,RO,8.251999999999999
N1a,2,RS,5.9275
N1a,2,SE,9.5745
N1a,2,SI,7.3215
N1a,2,SK,6.804
N1a,2,TR,5.444
N1a,2,UK,7.473999999999999
N1a,2,US,6.4985
N1b,2,AL,0.0366666666666666
N1b,2,AT,0.3576666666666666
N1b,2,BE,1.6556666666666668
N1b,2,BG,0.3056666666666666
N1b,2,CH,1.0713333333333332
N1b,2,CY,0.2173333333333333
N1b,2,CZ,0.5983333333333333
N1b,2,DE,1.1556666666666666
N1b,2,DK,0.5603333333333333
N1b,2,EE,0.3493333333333333
N1b,2,EL,0.5670000000000001
N1b,2,ES,0.7766666666666667
N1b,2,FI,0.3286666666666666
N1b,2,FR,0.2766666666666666
N1b,2,HR,0.5013333333333333
N1b,2,HU,1.0473333333333332
N1b,2,IE,0.2136666666666666
N1b,2,IS,0.0066666666666666
N1b,2,IT,0.078
N1b,2,LT,0.5093333333333333
N1b,2,LU,0.1303333333333333
N1b,2,LV,0.36
N1b,2,MD,0.072
N1b,2,ME,0.0703333333333333
N1b,2,MK,0.3243333333333333
N1b,2,MT,0.033
N1b,2,NL,0.4093333333333332
N1b,2,NO,0.341
N1b,2,PL,0.6873333333333332
N1b,2,PT,0.2459999999999999
N1b,2,RO,0.5586666666666668
N1b,2,RS,0.2033333333333333
N1b,2,SE,0.6046666666666666
N1b,2,SI,0.8706666666666667
N1b,2,SK,0.3493333333333333
N1b,2,TR,0.1026666666666666
N1b,2,UK,0.457
N1b,2,US,0.3806666666666666
N2,2,AL,0.175
N2,2,AT,1.1614285714285713
N2,2,BE,1.65
N2,2,BG,1.4342857142857142
N2,2,CH,1.4121428571428574
N2,2,CY,0.4657142857142857
N2,2,CZ,1.2521428571428572
N2,2,DE,1.7785714285714287
N2,2,DK,1.2857142857142858
N2,2,EE,0.8307142857142857
N2,2,EL,1.2785714285714287
N2,2,ES,1.509285714285714
N2,2,FI,1.4178571428571427
N2,2,FR,1.6821428571428574
N2,2,HR,1.12
N2,2,HU,0.5999999999999999
N2,2,IE,1.2692857142857146
N2,2,IS,0.83
N2,2,IT,0.8907142857142858
N2,2,LT,0.9807142857142858
N2,2,LU,0.7214285714285713
N2,2,LV,0.9407142857142856
N2,2,MD,0.3285714285714285
N2,2,ME,0.1692857142857143
N2,2,MK,0.9028571428571428
N2,2,MT,0.5914285714285714
N2,2,NL,1.6985714285714288
N2,2,NO,1.7278571428571428
N2,2,PL,1.1957142857142855
N2,2,PT,1.1564285714285714
N2,2,RO,0.99
N2,2,RS,0.9271428571428572
N2,2,SE,1.3742857142857143
N2,2,SI,0.9585714285714289
N2,2,SK,1.2071428571428573
N2,2,TR,1.000714285714286
N2,2,UK,1.0192857142857144
N2,2,US,1.2421428571428572
N3,2,AL,0.8789999999999999
N3,2,AT,5.032000000000001
N3,2,BE,6.3185
N3,2,BG,4.9125
N3,2,CH,3.9215
N3,2,CY,1.938
N3,2,CZ,5.687
N3,2,DE,4.9905
N3,2,DK,3.9495
N3,2,EE,3.7975
N3,2,EL,4.767
N3,2,ES,5.178
N3,2,FI,4.3975
N3,2,FR,5.6065
N3,2,HR,3.6175
N3,2,HU,3.3620000000000005
N3,2,IE,5.4075
N3,2,IS,2.455
N3,2,IT,4.475
N3,2,LT,3.8715
N3,2,LU,3.049
N3,2,LV,3.4795000000000003
N3,2,MD,1.0265
N3,2,ME,0.7715
N3,2,MK,4.346
N3,2,MT,2.872
N3,2,NL,6.5745000000000005
N3,2,NO,6.1435
N3,2,PL,4.4015
N3,2,PT,6.7265
N3,2,RO,5.8745
N3,2,RS,5.1205
N3,2,SE,4.219500000000001
N3,2,SI,3.806
N3,2,SK,3.835
N3,2,TR,5.653499999999999
N3,2,UK,4.2829999999999995
N3,2,US,4.523999999999999
