file_code,EU27,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,IS,NO,CH,ME,MD,MK,AL,RS,TR,US
Q3,158.50535714285715,6.639107142857143,5.5975,6.652321428571429,4.576428571428572,7.2282142857142855,5.070714285714286,6.0219642857142865,6.285892857142857,7.6276785714285715,7.0373214285714285,5.337857142857143,6.42,2.6710714285714285,4.73625,5.287678571428572,3.0217857142857145,4.816964285714286,2.9692857142857143,6.300714285714286,5.652678571428572,6.569821428571428,6.342142857142858,6.506607142857143,4.693392857142857,5.981785714285715,5.265178571428572,6.123928571428571,5.3575,2.232857142857143,5.5287500000000005,4.969107142857142,0.9228571428571429,0.905357142857143,3.7294642857142857,0.6021428571428571,5.067857142857143,5.373035714285715,6.32625
Q4,66.35642857142857,2.9992857142857146,2.3564285714285718,2.4307142857142856,2.200714285714286,3.0442857142857145,1.683571428571429,3.4442857142857144,2.415714285714286,2.943571428571428,2.3600000000000003,2.452142857142857,3.297857142857143,0.972857142857143,1.7464285714285717,1.6421428571428571,1.1957142857142855,2.190714285714286,1.7507142857142857,3.2342857142857144,2.5007142857142854,2.3971428571428572,3.5157142857142856,2.4699999999999998,1.7485714285714284,2.220714285714286,2.082142857142857,2.22,2.3957142857142855,0.9885714285714285,2.7264285714285714,2.4764285714285714,0.4428571428571428,0.4764285714285714,1.662857142857143,0.30428571428571427,2.105,1.933571428571429,2.8842857142857143
N1a,203.06150000000002,9.869499999999999,6.2345,7.8175,7.456,9.7385,7.1255,8.221,8.145,8.6565,7.847499999999999,6.571000000000001,8.2285,3.2545,6.8055,6.9784999999999995,4.414499999999999,7.1129999999999995,3.603,9.235,8.242500000000001,8.2245,9.369,8.251999999999999,7.3215,6.804,8.002500000000001,9.5745,7.473999999999999,4.526999999999999,7.617,7.8175,1.2525,1.3824999999999998,7.226999999999999,1.2369999999999999,5.9275,5.444,6.4985
N1b,13.296333333333335,1.6556666666666668,0.30566666666666664,0.5983333333333333,0.5603333333333333,1.1556666666666666,0.34933333333333333,0.21366666666666667,0.5670000000000001,0.7766666666666667,0.27666666666666667,0.5013333333333333,0.078,0.21733333333333335,0.36000000000000004,0.5093333333333333,0.13033333333333333,1.0473333333333332,0.033,0.40933333333333327,0.35766666666666663,0.6873333333333332,0.24599999999999997,0.5586666666666668,0.8706666666666667,0.3493333333333333,0.32866666666666666,0.6046666666666666,0.457,0.006666666666666667,0.341,1.0713333333333332,0.07033333333333333,0.072,0.3243333333333333,0.03666666666666666,0.20333333333333334,0.10266666666666664,0.38066666666666665
N2,32.315714285714286,1.65,1.4342857142857142,1.2521428571428572,1.2857142857142858,1.7785714285714287,0.8307142857142857,1.2692857142857146,1.2785714285714287,1.5092857142857141,1.6821428571428574,1.1199999999999999,0.8907142857142858,0.46571428571428575,0.9407142857142856,0.9807142857142858,0.7214285714285713,0.5999999999999999,0.5914285714285714,1.6985714285714288,1.1614285714285713,1.1957142857142855,1.1564285714285714,0.9899999999999999,0.9585714285714287,1.2071428571428573,1.4178571428571427,1.3742857142857143,1.0192857142857144,0.83,1.7278571428571428,1.4121428571428574,0.1692857142857143,0.32857142857142857,0.9028571428571429,0.17500000000000002,0.9271428571428572,1.000714285714286,1.2421428571428572
N3,122.67550000000001,6.3185,4.9125,5.687,3.9494999999999996,4.9905,3.7975000000000003,5.4075,4.767,5.178,5.6065,3.6174999999999997,4.475,1.9380000000000002,3.4795000000000003,3.8715,3.049,3.3620000000000005,2.872,6.5745000000000005,5.032000000000001,4.4015,6.7265,5.8745,3.806,3.835,4.3975,4.219500000000001,4.2829999999999995,2.455,6.1435,3.9215000000000004,0.7715,1.0265,4.346,0.8789999999999999,5.1205,5.653499999999999,4.523999999999999
Q14,237.48333333333332,9.602666666666666,9.455333333333334,11.061,7.867999999999999,10.757,10.134666666666666,7.172666666666667,11.572333333333333,10.399666666666667,8.984,10.260666666666667,9.689,5.119666666666666,10.134666666666666,9.251666666666665,4.061333333333334,9.357999999999999,4.206333333333333,8.565333333333333,6.808333333333334,11.424999999999999,8.29,11.609,8.816333333333334,10.200999999999999,8.039666666666667,7.615333333333333,7.892666666666666,4.538333333333333,8.348333333333334,6.963333333333334,1.7726666666666666,1.3393333333333333,9.103666666666667,1.7776666666666667,8.402,9.677333333333332,8.595333333333334
Q10,27.363571428571426,1.1421428571428571,0.7028571428571428,0.7014285714285714,1.695,1.4592857142857143,0.7492857142857142,0.9942857142857143,1.4414285714285715,1.272142857142857,1.247142857142857,0.7671428571428571,0.9349999999999999,0.2342857142857143,0.9292857142857144,0.8521428571428571,0.6428571428571429,0.475,0.4064285714285714,1.6935714285714287,1.3314285714285714,0.9957142857142858,0.9392857142857143,0.4685714285714286,1.1400000000000001,1.2021428571428572,1.1885714285714286,1.3971428571428572,1.1207142857142858,0.5892857142857143,1.382142857142857,1.4764285714285712,0.12357142857142857,0.24571428571428572,0.6857142857142858,0.09357142857142857,0.6649999999999999,0.21142857142857144,1.0535714285714286
Q9,270.227,10.9595,11.0725,12.8565,8.109,11.6895,12.187000000000001,9.258,10.6265,11.168000000000001,10.1675,11.310500000000001,11.823,6.3420000000000005,11.297,10.747000000000002,4.6465000000000005,11.959,5.211499999999999,9.256,8.2455,12.279,10.7705,14.3005,9.423,9.5435,9.411,10.714,8.942499999999999,4.6875,7.026000000000001,7.653999999999999,2.1350000000000002,1.705,10.9275,2.5545,10.7955,11.872499999999999,9.4055
