criteria,file_code,EU27,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,IS,NO,CH,ME,MD,MK,AL,RS,TR,US
base_total,N2,8194.0,398.0,312.0,359.0,306.0,366.0,302.0,316.0,382.0,351.0,382.0,301.0,285.0,157.0,276.0,288.0,177.0,299.0,175.0,326.0,282.0,303.0,297.0,326.0,273.0,288.0,307.0,360.0,255.0,184.0,358.0,299.0,64.0,58.0,286.0,66.0,297.0,329.0,295.0
base_weighted_total,N2,7079.0,354.0,291.0,309.0,243.0,351.0,216.0,319.0,303.0,276.0,318.0,221.0,259.0,131.0,210.0,224.0,179.0,214.0,180.0,352.0,280.0,264.0,319.0,316.0,203.0,236.0,228.0,248.0,245.0,143.0,311.0,241.0,41.0,68.0,259.0,53.0,283.0,313.0,259.0
no_recycled_materials_are_being_used,N2,2742.0,119.0,135.0,139.0,104.0,122.0,106.0,119.0,134.0,78.0,99.0,91.0,109.0,62.0,107.0,109.0,83.0,165.0,87.0,116.0,125.0,118.0,121.0,195.0,60.0,67.0,69.0,85.0,84.0,42.0,78.0,83.0,27.0,30.0,161.0,30.0,168.0,172.0,112.0
no_recycled_materials_are_being_used_percentage,N2,38.7,33.6,46.5,45.1,42.7,34.8,49.0,37.2,44.1,28.4,31.3,41.0,42.2,47.5,50.7,48.6,46.5,77.1,48.3,32.8,44.6,44.8,37.8,61.9,29.3,28.5,30.2,34.3,34.1,29.5,25.1,34.3,64.5,44.4,62.1,56.7,59.2,55.0,43.5
less_than_5_,N2,1534.0,79.0,39.0,62.0,29.0,74.0,49.0,80.0,56.0,61.0,78.0,48.0,81.0,31.0,31.0,41.0,8.0,18.0,42.0,27.0,42.0,48.0,131.0,51.0,54.0,69.0,41.0,33.0,74.0,40.0,73.0,46.0,1.0,7.0,48.0,15.0,53.0,74.0,45.0
less_than_5__percentage,N2,21.7,22.3,13.5,20.2,12.1,21.1,22.6,25.1,18.4,22.3,24.4,21.7,31.2,23.4,14.9,18.5,4.7,8.6,23.1,7.8,15.1,18.3,40.9,16.3,26.8,29.4,18.0,13.2,30.2,27.6,23.6,19.3,2.6,10.0,18.5,28.7,18.7,23.8,17.4
between_5_19_,N2,1347.0,86.0,38.0,52.0,37.0,65.0,29.0,79.0,54.0,53.0,51.0,30.0,57.0,24.0,31.0,31.0,58.0,10.0,39.0,123.0,48.0,41.0,40.0,43.0,55.0,47.0,36.0,59.0,40.0,22.0,89.0,33.0,4.0,13.0,13.0,0.0,29.0,35.0,34.0
between_5_19__percentage,N2,19.0,24.4,13.1,16.7,15.2,18.4,13.3,24.7,17.8,19.2,15.9,13.4,22.2,18.5,15.0,13.7,32.4,4.7,21.8,34.8,17.2,15.4,12.6,13.6,27.1,20.0,15.9,23.7,16.4,15.3,28.7,13.7,10.5,18.5,4.8,0.5,10.2,11.2,13.0
between_20_49_,N2,662.0,41.0,17.0,27.0,29.0,42.0,15.0,35.0,36.0,34.0,34.0,15.0,8.0,9.0,10.0,6.0,25.0,5.0,12.0,68.0,50.0,22.0,11.0,6.0,12.0,17.0,19.0,18.0,33.0,8.0,18.0,20.0,3.0,9.0,13.0,0.0,18.0,22.0,24.0
between_20_49__percentage,N2,9.4,11.5,5.9,8.7,11.9,12.1,6.8,10.9,11.8,12.3,10.8,6.6,3.0,6.7,4.8,2.9,14.1,2.3,6.5,19.2,18.0,8.3,3.3,1.8,6.0,7.1,8.2,7.2,13.6,5.9,5.7,8.2,8.2,13.7,5.0,0.5,6.5,6.9,9.3
between_50_74_,N2,209.0,6.0,23.0,16.0,5.0,8.0,6.0,3.0,6.0,9.0,16.0,3.0,0.0,3.0,3.0,13.0,2.0,1.0,0.0,12.0,6.0,8.0,2.0,8.0,9.0,9.0,15.0,18.0,6.0,1.0,8.0,5.0,3.0,2.0,4.0,3.0,4.0,0.0,16.0
between_50_74__percentage,N2,3.0,1.6,8.0,5.1,2.1,2.2,2.6,0.9,1.9,3.3,5.2,1.2,0.0,2.1,1.2,5.9,1.2,0.6,0.1,3.5,2.1,3.2,0.8,2.5,4.6,3.8,6.6,7.1,2.6,1.0,2.7,2.2,6.2,2.9,1.4,5.4,1.2,0.1,6.2
75_and_more,N2,192.0,2.0,10.0,4.0,6.0,6.0,5.0,0.0,10.0,24.0,13.0,7.0,0.0,0.0,4.0,2.0,1.0,3.0,0.0,3.0,4.0,8.0,9.0,7.0,2.0,6.0,15.0,11.0,6.0,0.0,8.0,11.0,3.0,2.0,7.0,4.0,3.0,5.0,10.0
75_and_more_percentage,N2,2.7,0.7,3.3,1.5,2.6,1.8,2.2,0.0,3.3,8.6,3.9,3.1,0.0,0.1,1.8,0.8,0.5,1.6,0.2,1.0,1.5,3.0,3.0,2.2,0.9,2.5,6.4,4.6,2.6,0.1,2.5,4.7,6.2,2.9,2.8,7.8,1.2,1.7,3.7
don_t_know_no_answer,N2,392.0,21.0,28.0,8.0,33.0,34.0,7.0,4.0,8.0,16.0,27.0,29.0,4.0,2.0,24.0,21.0,1.0,11.0,0.0,3.0,4.0,19.0,5.0,5.0,11.0,21.0,34.0,24.0,1.0,30.0,37.0,42.0,1.0,5.0,14.0,0.0,8.0,4.0,18.0
don_t_know_no_answer_percentage,N2,5.5,6.0,9.7,2.7,13.4,9.6,3.4,1.3,2.7,5.9,8.4,13.0,1.4,1.5,11.6,9.6,0.6,5.1,0.0,1.0,1.4,7.0,1.7,1.7,5.3,8.7,14.7,9.8,0.5,20.7,11.8,17.6,1.7,7.6,5.4,0.3,2.9,1.3,6.9
