criteria,file_code,EU27,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,IS,NO,CH,ME,MD,MK,AL,RS,TR,US
base_total,N3,8194.0,398.0,312.0,359.0,306.0,366.0,302.0,316.0,382.0,351.0,382.0,301.0,285.0,157.0,276.0,288.0,177.0,299.0,175.0,326.0,282.0,303.0,297.0,326.0,273.0,288.0,307.0,360.0,255.0,184.0,358.0,299.0,64.0,58.0,286.0,66.0,297.0,329.0,295.0
base_weighted_total,N3,7079.0,354.0,291.0,309.0,243.0,351.0,216.0,319.0,303.0,276.0,318.0,221.0,259.0,131.0,210.0,224.0,179.0,214.0,180.0,352.0,280.0,264.0,319.0,316.0,203.0,236.0,228.0,248.0,245.0,143.0,311.0,241.0,41.0,68.0,259.0,53.0,283.0,313.0,259.0
yes_for_all_of_your_products,N3,1566.0,71.0,68.0,86.0,56.0,31.0,67.0,56.0,74.0,84.0,62.0,45.0,53.0,17.0,45.0,76.0,40.0,34.0,36.0,85.0,52.0,64.0,91.0,89.0,81.0,48.0,91.0,78.0,26.0,43.0,87.0,58.0,10.0,12.0,67.0,16.0,75.0,57.0,57.0
yes_for_all_of_your_products_percentage,N3,22.1,20.0,23.4,27.7,23.1,8.9,31.1,17.4,24.6,30.3,19.7,20.5,20.5,12.9,21.2,34.1,22.3,15.7,20.0,24.2,18.7,24.2,28.3,28.1,39.6,20.2,39.9,31.4,10.6,29.7,28.0,23.9,24.8,18.2,25.9,29.3,26.3,18.3,22.1
yes_but_only_for_some_of_your_products,N3,1746.0,104.0,61.0,86.0,40.0,49.0,42.0,81.0,40.0,78.0,90.0,42.0,68.0,20.0,38.0,36.0,41.0,38.0,32.0,112.0,87.0,47.0,142.0,91.0,44.0,45.0,55.0,41.0,84.0,20.0,111.0,35.0,12.0,8.0,47.0,6.0,76.0,101.0,65.0
yes_but_only_for_some_of_your_products_percentage,N3,24.7,29.3,21.0,27.8,16.5,13.8,19.7,25.4,13.1,28.1,28.4,18.9,26.3,15.3,17.9,15.9,23.1,17.9,17.8,31.8,31.0,17.7,44.6,28.8,21.7,19.0,24.1,16.4,34.4,13.9,35.7,14.4,30.3,12.2,18.0,11.9,27.0,32.2,25.0
no,N3,3652.0,172.0,158.0,134.0,138.0,268.0,104.0,176.0,189.0,111.0,160.0,125.0,137.0,94.0,107.0,109.0,97.0,132.0,112.0,148.0,134.0,142.0,86.0,134.0,78.0,140.0,74.0,125.0,135.0,57.0,103.0,127.0,18.0,44.0,138.0,25.0,131.0,151.0,128.0
no_percentage,N3,51.6,48.5,54.4,43.2,56.7,76.2,48.0,55.3,62.3,40.3,50.3,56.5,53.0,71.7,50.9,48.8,54.3,61.5,62.3,42.0,47.7,53.7,26.9,42.3,38.6,59.3,32.3,50.6,55.0,40.0,33.1,52.7,43.1,64.8,53.4,48.0,46.3,48.3,49.4
don_t_know_no_answer,N3,115.0,7.0,4.0,4.0,9.0,4.0,3.0,6.0,0.0,4.0,5.0,9.0,0.0,0.0,21.0,3.0,1.0,10.0,0.0,7.0,7.0,12.0,1.0,2.0,0.0,3.0,8.0,4.0,0.0,24.0,10.0,22.0,1.0,3.0,7.0,6.0,1.0,4.0,9.0
don_t_know_no_answer_percentage,N3,1.6,2.1,1.3,1.3,3.7,1.1,1.2,1.9,0.0,1.3,1.6,4.0,0.2,0.1,10.0,1.1,0.3,4.9,0.0,2.0,2.6,4.4,0.2,0.7,0.0,1.5,3.6,1.6,0.0,16.5,3.3,9.0,1.8,4.8,2.7,10.8,0.4,1.2,3.6
total_yes_,N3,3312.0,175.0,129.0,171.0,96.0,80.0,110.0,137.0,114.0,161.0,153.0,87.0,121.0,37.0,82.0,112.0,81.0,72.0,68.0,197.0,139.0,111.0,233.0,180.0,125.0,93.0,146.0,118.0,110.0,62.0,198.0,92.0,23.0,21.0,114.0,22.0,151.0,158.0,122.0
total_yes__percentage,N3,46.8,49.4,44.4,55.5,39.6,22.7,50.8,42.8,37.7,58.4,48.1,39.5,46.9,28.2,39.1,50.0,45.4,33.6,37.7,56.0,49.7,41.8,72.9,56.9,61.4,39.2,64.1,47.7,45.0,43.5,63.6,38.3,55.1,30.4,43.9,41.2,53.3,50.5,47.1
