criteria,file_code,EU27,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,IS,NO,CH,ME,MD,MK,AL,RS,TR,US
base_total,DX5,13124.0,543.0,475.0,544.0,442.0,571.0,497.0,476.0,566.0,566.0,544.0,493.0,545.0,248.0,502.0,488.0,250.0,468.0,249.0,550.0,455.0,553.0,544.0,595.0,459.0,491.0,473.0,537.0,435.0,246.0,470.0,444.0,94.0,93.0,498.0,105.0,469.0,454.0,475.0
base_weighted_total,DX5,13124.0,543.0,475.0,544.0,442.0,571.0,497.0,476.0,566.0,566.0,544.0,493.0,545.0,248.0,502.0,488.0,250.0,468.0,249.0,550.0,455.0,553.0,544.0,595.0,459.0,491.0,473.0,537.0,435.0,246.0,470.0,444.0,94.0,93.0,498.0,105.0,469.0,454.0,475.0
0_employees,DX5,7516.0,403.0,251.0,317.0,264.0,347.0,371.0,283.0,348.0,269.0,336.0,271.0,260.0,223.0,283.0,345.0,142.0,387.0,210.0,363.0,259.0,316.0,291.0,282.0,313.0,218.0,283.0,279.0,299.0,139.0,222.0,272.0,56.0,28.0,340.0,77.0,273.0,375.0,270.0
0_employees_percentage,DX5,57.3,74.2,52.8,58.4,59.6,60.8,74.6,59.5,61.5,47.6,61.7,55.0,47.7,89.8,56.3,70.7,56.8,82.7,84.5,66.0,56.9,57.2,53.4,47.4,68.3,44.4,59.9,52.0,68.7,56.5,47.3,61.2,59.7,30.0,68.3,73.6,58.2,82.7,56.8
1_5_employees,DX5,4476.0,110.0,179.0,176.0,133.0,171.0,93.0,107.0,201.0,253.0,157.0,147.0,247.0,24.0,150.0,122.0,80.0,46.0,35.0,152.0,150.0,159.0,200.0,262.0,109.0,233.0,170.0,211.0,110.0,41.0,183.0,121.0,26.0,38.0,108.0,22.0,170.0,50.0,116.0
1_5_employees_percentage,DX5,34.1,20.3,37.7,32.3,30.0,30.0,18.7,22.5,35.4,44.8,28.9,29.8,45.4,9.6,29.8,25.0,32.1,9.8,14.2,27.7,33.0,28.8,36.7,44.0,23.7,47.4,36.0,39.3,25.4,16.8,39.0,27.3,27.7,41.0,21.7,21.1,36.3,11.0,24.5
6_9_employees,DX5,334.0,14.0,16.0,25.0,20.0,11.0,4.0,8.0,12.0,17.0,24.0,26.0,3.0,0.0,27.0,14.0,1.0,16.0,3.0,10.0,7.0,9.0,1.0,19.0,25.0,25.0,10.0,25.0,1.0,33.0,31.0,15.0,8.0,14.0,12.0,1.0,12.0,7.0,39.0
6_9_employees_percentage,DX5,2.5,2.6,3.5,4.5,4.6,1.9,0.7,1.8,2.1,2.9,4.4,5.2,0.5,0.1,5.3,2.9,0.2,3.4,1.1,1.9,1.6,1.7,0.3,3.2,5.4,5.1,2.1,4.7,0.2,13.5,6.7,3.4,8.4,15.4,2.5,1.1,2.5,1.5,8.1
10_50_employees,DX5,112.0,2.0,6.0,3.0,5.0,17.0,2.0,4.0,2.0,4.0,3.0,6.0,4.0,1.0,8.0,2.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,9.0,5.0,3.0,4.0,7.0,1.0,2.0,10.0,15.0,1.0,7.0,7.0,1.0,7.0,2.0,17.0
10_50_employees_percentage,DX5,0.9,0.4,1.3,0.6,1.1,2.9,0.4,0.9,0.3,0.7,0.5,1.1,0.7,0.5,1.5,0.5,0.0,0.3,0.0,0.0,0.2,0.7,0.1,1.5,1.1,0.5,0.8,1.4,0.3,0.7,2.1,3.3,0.8,7.2,1.5,0.6,1.5,0.5,3.5
51_100_employees,DX5,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51_100_employees_percentage,DX5,0.0,0.0,0.1,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.8,0.1,0.1,0.0,0.1,0.3,0.1,0.0,0.0,0.0,0.3
101_employees,DX5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
101_employees_percentage,DX5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.4,0.1,0.0,0.1,0.0,0.1
dk_na,DX5,677.0,14.0,22.0,22.0,20.0,24.0,28.0,73.0,3.0,23.0,24.0,43.0,31.0,0.0,35.0,5.0,27.0,18.0,0.0,25.0,33.0,64.0,52.0,22.0,6.0,12.0,6.0,14.0,20.0,30.0,22.0,21.0,3.0,5.0,30.0,4.0,7.0,19.0,32.0
dk_na_percentage,DX5,5.2,2.5,4.7,4.1,4.5,4.2,5.6,15.3,0.5,4.0,4.5,8.7,5.7,0.0,6.9,0.9,10.8,3.8,0.1,4.5,7.4,11.6,9.5,3.7,1.4,2.4,1.2,2.6,4.6,12.3,4.8,4.6,3.3,5.7,5.9,3.7,1.4,4.3,6.7
mean,DX5,2.5,2.0,1.5,2.8,2.5,2.9,2.3,2.8,2.2,2.5,2.4,1.8,3.0,2.5,3.5,2.0,2.4,1.3,2.5,2.9,6.1,2.6,2.0,2.6,1.7,2.2,2.3,1.7,4.8,2.2,3.6,3.7,4.1,6.4,2.8,2.9,1.7,3.5,4.8
