file_code,group_id,country_code,score,group_weight,weighted_score,scaled_score
Q1,1,BE,5.773480662983426,0.1,0.5773480662983426,2.0475960450888184
Q1,1,CY,3.9233870967741935,0.1,0.39233870967741935,1.7099477946695725
Q1,1,CZ,5.2463235294117645,0.1,0.5246323529411765,1.951388108853897
Q1,1,EE,3.79476861167002,0.1,0.379476861167002,1.6864744918809031
Q1,1,EL,4.57773851590106,0.1,0.457773851590106,1.8293691125222882
Q1,1,HR,3.837728194726166,0.1,0.38377281947261666,1.694314759163908
Q1,1,HU,4.3247863247863245,0.1,0.4324786324786325,1.78320449342975
Q1,1,IS,3.882113821138211,0.1,0.3882113821138211,1.7024152841187061
Q1,1,LT,5.336065573770492,0.1,0.5336065573770492,1.9677663314585279
Q1,1,MD,3.204301075268817,0.1,0.3204301075268817,1.5787121958345849
Q1,1,MK,2.602409638554217,0.1,0.26024096385542167,1.468864999854429
Q1,1,NO,4.861702127659575,0.1,0.4861702127659575,1.881193419381236
Q1,1,RO,4.285714285714286,0.1,0.4285714285714286,1.7760737158983098
Q1,1,SI,4.019607843137255,0.1,0.4019607843137255,1.727508402012308
Q1,1,UK,5.057471264367816,0.1,0.5057471264367817,1.9169219401992734
Q2,1,BE,6.099447513812155,0.1,0.6099447513812155,2.1070860832615925
Q2,1,CY,3.931451612903226,0.1,0.3931451612903226,1.7114195957780023
Q2,1,CZ,5.216911764705882,0.1,0.5216911764705883,1.9460203636349176
Q2,1,EE,3.9637826961770624,0.1,0.3963782696177063,1.717320126378699
Q2,1,EL,5.134275618374558,0.1,0.5134275618374559,1.9309389911358337
Q2,1,HR,3.768762677484787,0.1,0.3768762677484787,1.6817283220987158
Q2,1,HU,4.0747863247863245,0.1,0.4074786324786325,1.737578659068427
Q2,1,IS,3.796747967479675,0.1,0.3796747967479675,1.6868357309221569
Q2,1,LT,6.131147540983607,0.1,0.6131147540983607,2.1128714440174887
Q2,1,MD,3.5268817204301075,0.1,0.3526881720430108,1.6375842401717755
Q2,1,MK,2.708835341365462,0.1,0.2708835341365462,1.488288045807442
Q2,1,NO,4.8,0.1,0.48,1.8699325751558882
Q2,1,RO,5.272268907563025,0.1,0.5272268907563026,1.9561232269577822
Q2,1,SI,2.9651416122004357,0.1,0.2965141612200436,1.5350647956429813
Q2,1,UK,5.0,0.1,0.5,1.9064332426449464
Q3,1,BE,6.639107142857143,0.1,0.6639107142857144,2.205575766646791
Q3,1,CY,2.6710714285714285,0.1,0.2671071428571429,1.481396005687538
Q3,1,CZ,6.652321428571429,0.1,0.6652321428571429,2.2079874178916037
Q3,1,EE,5.070714285714286,0.1,0.5070714285714286,1.9193388357928636
Q3,1,EL,6.285892857142857,0.1,0.6285892857142857,2.141112980670579
Q3,1,HR,5.337857142857143,0.1,0.5337857142857143,1.9680932987961055
Q3,1,HU,4.816964285714286,0.1,0.4816964285714286,1.8730286139161207
Q3,1,IS,2.232857142857143,0.1,0.2232857142857143,1.4014204360284763
Q3,1,LT,5.287678571428572,0.1,0.5287678571428572,1.9589355420421546
Q3,1,MD,0.905357142857143,0.1,0.0905357142857143,1.1591472555698523
Q3,1,MK,3.7294642857142857,0.1,0.37294642857142857,1.6745562344443665
Q3,1,NO,5.5287500000000005,0.1,0.5528750000000001,2.002931882319144
Q3,1,RO,6.506607142857143,0.1,0.6506607142857144,2.18139407443529
Q3,1,SI,4.693392857142857,0.1,0.46933928571428574,1.8504764157889526
Q3,1,UK,5.3575,0.1,0.5357500000000001,1.9716781857816381
Q4,1,BE,2.9992857142857146,0.1,0.2999285714285715,1.5412962082276174
Q4,1,CY,0.972857142857143,0.1,0.09728571428571431,1.1714662308474093
Q4,1,CZ,2.4307142857142856,0.1,0.24307142857142858,1.4375300249372946
Q4,1,EE,1.683571428571429,0.1,0.1683571428571429,1.301173959960313
Q4,1,EL,2.415714285714286,0.1,0.2415714285714286,1.4347924748756153
Q4,1,HR,2.452142857142857,0.1,0.24521428571428572,1.4414408107396937
Q4,1,HU,2.190714285714286,0.1,0.21907142857142858,1.3937292239504249
Q4,1,IS,0.9885714285714284,0.1,0.09885714285714285,1.1743341404358354
Q4,1,LT,1.6421428571428571,0.1,0.16421428571428573,1.2936131074090078
Q4,1,MD,0.4764285714285714,0.1,0.047642857142857147,1.0808663597584969
Q4,1,MK,1.662857142857143,0.1,0.16628571428571431,1.2973935336846605
Q4,1,NO,2.726428571428571,0.1,0.27264285714285713,1.491498869010402
Q4,1,RO,2.47,0.1,0.24700000000000003,1.4446997989083596
Q4,1,SI,1.7485714285714284,0.1,0.17485714285714285,1.3130366768942567
Q4,1,UK,2.3957142857142855,0.1,0.23957142857142855,1.4311424081267095
Q5,1,BE,1.5303030303030305,0.1,0.15303030303030307,1.273201965751436
Q5,1,CY,1.298165137614679,0.1,0.1298165137614679,1.230836025588295
Q5,1,CZ,1.613899613899614,0.1,0.16138996138996142,1.288458621256837
Q5,1,EE,1.4295612009237877,0.1,0.14295612009237876,1.25481624566938
Q5,1,EL,1.3410404624277457,0.1,0.13410404624277458,1.2386609154607306
Q5,1,HR,1.193103448275862,0.1,0.1193103448275862,1.2116619166463205
Q5,1,HU,1.3073286052009456,0.1,0.13073286052009456,1.2325083890053603
Q5,1,IS,1.1712962962962965,0.1,0.11712962962962965,1.2076820386298732
Q5,1,LT,1.4264069264069263,0.1,0.14264069264069265,1.2542405800428342
Q5,1,MD,1.2191780821917808,0.1,0.12191780821917808,1.21642062435864
Q5,1,MK,0.945288753799392,0.1,0.0945288753799392,1.1664349078363796
