country_code,scaled_score,zone,baseline_mean_zone,position_vs_baseline
AL,3.5326305667835967,Q1-Q2,3.278724818346123,above
AT,6.31210149205484,Q3-10,7.503635761648701,below
BG,5.549760501433431,Q2-Q3,5.111556317616281,above
CH,6.613867575797098,Q3-10,7.503635761648701,below
DE,6.11055004603049,Q2-Q3,5.111556317616281,above
DK,6.478379542763964,Q3-10,7.503635761648701,below
ES,7.926660213929443,Q3-10,7.503635761648701,above
FI,6.241633286221804,Q2-Q3,5.111556317616281,above
FR,6.583232429352375,Q3-10,7.503635761648701,below
IE,4.742902242896482,Q2-Q3,5.111556317616281,below
IT,6.191562096544036,Q2-Q3,5.111556317616281,above
LU,6.335030894424758,Q3-10,7.503635761648701,below
LV,4.971601263884438,Q2-Q3,5.111556317616281,below
ME,4.429855126383184,Q2-Q3,5.111556317616281,below
MT,5.492813755779901,Q2-Q3,5.111556317616281,above
NL,6.286078973822702,Q2-Q3,5.111556317616281,above
PL,5.468454282494934,Q2-Q3,5.111556317616281,above
PT,4.622118606519515,Q2-Q3,5.111556317616281,below
RS,4.433112221615972,Q2-Q3,5.111556317616281,below
SE,6.913235574850775,Q3-10,7.503635761648701,below
SK,7.067386354911928,Q3-10,7.503635761648701,below
TR,6.193593269205049,Q2-Q3,5.111556317616281,above
US,7.181705889574806,Q3-10,7.503635761648701,below
