country_code,scaled_score,zone,baseline_mean_zone,position_vs_baseline
AL,1.8451969736498823,Q1-Q2,1.6969228687953783,above
AT,6.097573702061048,Q2-Q3,5.907713221859713,above
BG,8.335058700756589,Q3-10,8.94873557642283,below
CH,6.228593790764414,Q2-Q3,5.907713221859713,above
DE,9.435345682233237,Q3-10,8.94873557642283,above
DK,6.993300286981476,Q2-Q3,5.907713221859713,above
ES,9.133295069136448,Q3-10,8.94873557642283,above
FI,7.1384085572658496,Q2-Q3,5.907713221859713,above
FR,7.936644925645707,Q2-Q3,5.907713221859713,above
IE,6.4055413514218635,Q2-Q3,5.907713221859713,above
IT,8.532575006522306,Q3-10,8.94873557642283,below
LU,3.775559613879468,Q2-Q3,5.907713221859713,below
LV,8.909292981998433,Q3-10,8.94873557642283,below
ME,1.8409705191755803,Q1-Q2,1.6969228687953783,above
MT,3.898126793634229,Q2-Q3,5.907713221859713,below
NL,7.5827498043308115,Q2-Q3,5.907713221859713,above
PL,10.0,Q3-10,8.94873557642283,above
PT,7.350013044612574,Q2-Q3,5.907713221859713,above
RS,7.444685624836941,Q2-Q3,5.907713221859713,above
SE,6.779723454213409,Q2-Q3,5.907713221859713,above
SK,8.965363944690843,Q3-10,8.94873557642283,above
TR,8.5227132794156,Q3-10,8.94873557642283,below
US,7.608108531176624,Q2-Q3,5.907713221859713,above
