country_code,scaled_score,zone,baseline_mean_zone,position_vs_baseline
AL,1.4848296560294498,0-Q1,1.2896512947537357,above
AT,3.3472544621340607,Q2-Q3,3.9636467160597446,below
BG,3.064585336115736,Q2-Q3,3.9636467160597446,below
CH,3.033810874815354,Q2-Q3,3.9636467160597446,below
DE,2.395105827124965,Q2-Q3,3.9636467160597446,below
DK,2.8812208375342916,Q2-Q3,3.9636467160597446,below
ES,3.1189535510797444,Q2-Q3,3.9636467160597446,below
FI,2.825525752680883,Q2-Q3,3.9636467160597446,below
FR,2.395545070105167,Q2-Q3,3.9636467160597446,below
IE,4.521243171000492,Q2-Q3,3.9636467160597446,above
IT,2.947032438896258,Q2-Q3,3.9636467160597446,below
LU,2.6766406118442516,Q2-Q3,3.9636467160597446,below
LV,1.8233487303336535,Q1-Q2,1.759657477447529,above
ME,3.6742127599709256,Q2-Q3,3.9636467160597446,below
MT,2.1442823981804966,Q2-Q3,3.9636467160597446,below
NL,3.767063706065793,Q2-Q3,3.9636467160597446,below
PL,2.0387699594363293,Q1-Q2,1.759657477447529,above
PT,4.106813758822012,Q2-Q3,3.9636467160597446,above
RS,2.5721939553096207,Q2-Q3,3.9636467160597446,below
SE,2.630433796050129,Q2-Q3,3.9636467160597446,below
SK,3.1272140643761626,Q2-Q3,3.9636467160597446,below
TR,1.9332575206921616,Q1-Q2,1.759657477447529,above
US,3.2184576426176466,Q2-Q3,3.9636467160597446,below
