file_code,group_id,country_code,score,group_weight,weighted_score,scaled_score
N1a,2,AL,1.237,0.5,0.6185,2.122699697517617
N1a,2,AT,8.242500000000001,0.5,4.121250000000001,8.515335349882555
N1a,2,BE,9.8695,0.5,4.93475,9.999999999999998
N1a,2,BG,6.2345,0.5,3.11725,6.68300184193183
N1a,2,CH,7.8175,0.5,3.90875,8.12751575781131
N1a,2,CY,3.2545,0.5,1.62725,3.963702113996992
N1a,2,CZ,7.8175,0.5,3.90875,8.12751575781131
N1a,2,DE,9.7385,0.5,4.86925,9.880460313973332
N1a,2,DK,7.456,0.5,3.728,7.797640975378947
N1a,2,EE,7.1255,0.5,3.56275,7.496054210250603
N1a,2,EL,8.145,0.5,4.0725,8.426364972877975
N1a,2,ES,8.6565,0.5,4.32825,8.893117258394307
N1a,2,FI,8.002500000000001,0.5,4.001250000000001,8.296331344948207
N1a,2,FR,7.847499999999999,0.5,3.9237499999999996,8.154891258428105
N1a,2,HR,6.571000000000001,0.5,3.2855000000000003,6.990063707183534
N1a,2,HU,7.1129999999999995,0.5,3.5564999999999998,7.484647751660272
N1a,2,IE,8.221,0.5,4.1105,8.495716241107186
N1a,2,IS,4.526999999999999,0.5,2.2634999999999996,5.124879598492656
N1a,2,IT,8.2285,0.5,4.11425,8.502560116261385
N1a,2,LT,6.9784999999999995,0.5,3.4892499999999997,7.361914257228314
N1a,2,LU,4.414499999999999,0.5,2.2072499999999997,5.02222147117968
N1a,2,LV,6.8055,0.5,3.40275,7.204048870338138
N1a,2,MD,1.3824999999999998,0.5,0.6912499999999999,2.255470875509066
N1a,2,ME,1.2525,0.5,0.62625,2.1368437061696266
N1a,2,MK,7.226999999999999,0.5,3.6134999999999997,7.5886746540040875
N1a,2,MT,3.603,0.5,1.8015,4.281714179495411
N1a,2,NL,9.235,0.5,4.6175,9.421008161954811
N1a,2,NO,7.617,0.5,3.8085,7.9445561620224066
N1a,2,PL,8.2245,0.5,4.11225,8.498910049512478
N1a,2,PT,9.369,0.5,4.6845,9.543285398043157
N1a,2,RO,8.251999999999999,0.5,4.1259999999999994,8.524004258411205
N1a,2,RS,5.9275,0.5,2.96375,6.402859218953309
N1a,2,SE,9.5745,0.5,4.78725,9.730807577268195
N1a,2,SI,7.3215,0.5,3.66075,7.674907480946989
N1a,2,SK,6.804,0.5,3.402,7.202680095307298
N1a,2,TR,5.444,0.5,2.722,5.961657400679317
N1a,2,UK,7.473999999999999,0.5,3.7369999999999997,7.814066275749022
N1a,2,US,6.4985,0.5,3.24925,6.923906247359615
N1b,2,AL,0.0366666666666666,0.5,0.0183333333333333,1.0273755006167937
N1b,2,AT,0.3576666666666666,0.5,0.1788333333333333,1.320293357216486
N1b,2,BE,1.6556666666666668,0.5,0.8278333333333334,2.5047400172364265
N1b,2,BG,0.3056666666666666,0.5,0.1528333333333333,1.2728424894807104
N1b,2,CH,1.0713333333333332,0.5,0.5356666666666666,1.9715260996671002
N1b,2,CY,0.2173333333333333,0.5,0.10866666666666665,1.1922368487757067
N1b,2,CZ,0.5983333333333333,0.5,0.29916666666666664,1.5399057066089865
N1b,2,DE,1.1556666666666666,0.5,0.5778333333333333,2.048481673623198
N1b,2,DK,0.5603333333333333,0.5,0.2801666666666667,1.5052300724943812
N1b,2,EE,0.3493333333333333,0.5,0.17466666666666664,1.312689051489599
N1b,2,EL,0.5670000000000001,0.5,0.28350000000000003,1.511313517075891
N1b,2,ES,0.7766666666666667,0.5,0.38833333333333336,1.7026378491643712
N1b,2,FI,0.3286666666666666,0.5,0.1643333333333333,1.293830373286919
N1b,2,FR,0.2766666666666666,0.5,0.1383333333333333,1.246379505551143
N1b,2,HR,0.5013333333333333,0.5,0.25066666666666665,1.4513915879480201
N1b,2,HU,1.0473333333333332,0.5,0.5236666666666666,1.9496256991736653
N1b,2,IE,0.2136666666666666,0.5,0.1068333333333333,1.1888909542558763
N1b,2,IS,0.0066666666666666,0.5,0.0033333333333333,1.0
N1b,2,IT,0.078,0.5,0.039,1.0650928570221538
N1b,2,LT,0.5093333333333333,0.5,0.25466666666666665,1.458691721445832
N1b,2,LU,0.1303333333333333,0.5,0.06516666666666665,1.112847896987005
N1b,2,LV,0.36,0.5,0.18,1.3224225628200146
N1b,2,MD,0.072,0.5,0.036,1.0596177568987952
N1b,2,ME,0.0703333333333333,0.5,0.03516666666666665,1.0580968957534178
N1b,2,MK,0.3243333333333333,0.5,0.16216666666666665,1.2898761343089375
N1b,2,MT,0.033,0.5,0.0165,1.0240296060969634
N1b,2,NL,0.4093333333333332,0.5,0.2046666666666666,1.3674400527231863
N1b,2,NO,0.341,0.5,0.1705,1.305084745762712
N1b,2,PL,0.6873333333333332,0.5,0.3436666666666666,1.621119691772141
N1b,2,PT,0.2459999999999999,0.5,0.12299999999999996,1.2183956604761985
N1b,2,RO,0.5586666666666668,0.5,0.2793333333333334,1.5037092113490038
N1b,2,RS,0.2033333333333333,0.5,0.10166666666666666,1.1794616151545363
N1b,2,SE,0.6046666666666666,0.5,0.3023333333333333,1.5456849789614207
N1b,2,SI,0.8706666666666667,0.5,0.43533333333333335,1.788414417763658
N1b,2,SK,0.3493333333333333,0.5,0.17466666666666664,1.312689051489599
N1b,2,TR,0.1026666666666666,0.5,0.0513333333333333,1.0876016019737398
N1b,2,UK,0.457,0.5,0.2285,1.4109366814809807
N1b,2,US,0.3806666666666666,0.5,0.1903333333333333,1.3412812410226946
N2,2,AL,0.175,0.5,0.0875,1.1536069756831202
N2,2,AT,1.1614285714285713,0.5,0.5807142857142856,2.0537395078686456
N2,2,BE,1.65,0.5,0.825,2.4995690893421427
N2,2,BG,1.4342857142857142,0.5,0.7171428571428571,2.3027262039547214
N2,2,CH,1.4121428571428574,0.5,0.7060714285714287,2.282520477308993
N2,2,CY,0.4657142857142857,0.5,0.23285714285714285,1.4188886126125255
N2,2,CZ,1.2521428571428572,0.5,0.6260714285714286,2.13651780735276
N2,2,DE,1.7785714285714287,0.5,0.8892857142857143,2.6168926634141156
N2,2,DK,1.2857142857142858,0.5,0.6428571428571429,2.1671522961382195
N2,2,EE,0.8307142857142857,0.5,0.41535714285714287,1.751957203450182
N2,2,EL,1.2785714285714287,0.5,0.6392857142857143,2.160634319800888
N2,2,ES,1.509285714285714,0.5,0.754642857142857,2.371164955496705
N2,2,FI,1.4178571428571427,0.5,0.7089285714285714,2.287734858378858
N2,2,FR,1.6821428571428574,0.5,0.8410714285714287,2.5288999828601364
N2,2,HR,1.12,0.5,0.56,2.0159352451121215
N2,2,HU,0.5999999999999999,0.5,0.29999999999999993,1.541426567754364
N2,2,IE,1.2692857142857146,0.5,0.6346428571428573,2.1521609505623567
N2,2,IS,0.83,0.5,0.415,1.7513054058164488
N2,2,IT,0.8907142857142858,0.5,0.4453571428571429,1.8067082046837695
N2,2,LT,0.9807142857142858,0.5,0.4903571428571429,1.8888347065341504
N2,2,LU,0.7214285714285713,0.5,0.36071428571428565,1.6522321654890049
N2,2,LV,0.9407142857142856,0.5,0.4703571428571428,1.852334039045092
N2,2,MD,0.3285714285714285,0.5,0.16428571428571426,1.2937434669357544
N2,2,ME,0.1692857142857143,0.5,0.08464285714285714,1.1483925946132547
N2,2,MK,0.9028571428571428,0.5,0.4514285714285714,1.8177887644572335
N2,2,MT,0.5914285714285714,0.5,0.2957142857142857,1.533604996149566
N2,2,NL,1.6985714285714288,0.5,0.8492857142857144,2.5438913284359996
N2,2,NO,1.7278571428571428,0.5,0.8639285714285714,2.5706150314190594
N2,2,PL,1.1957142857142855,0.5,0.5978571428571428,2.085025794287838
N2,2,PT,1.1564285714285714,0.5,0.5782142857142857,2.0491769244325133
N2,2,RO,0.99,0.5,0.495,1.8973080757726817
N2,2,RS,0.9271428571428572,0.5,0.4635714285714286,1.8399498840041617
N2,2,SE,1.3742857142857143,0.5,0.6871428571428572,2.2479752027211344
N2,2,SI,0.9585714285714289,0.5,0.4792857142857144,1.8686289798884221
N2,2,SK,1.2071428571428573,0.5,0.6035714285714286,2.0954545564275695
N2,2,TR,1.000714285714286,0.5,0.500357142857143,1.9070850402786799
N2,2,UK,1.0192857142857144,0.5,0.5096428571428572,1.9240317787557424
