,file_code,EU27,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,IS,NO,CH,ME,MD,MK,AL,RS,TR,US
base_total,SCR10,13124.0,543.0,475.0,544.0,442.0,571.0,497.0,476.0,566.0,566.0,544.0,493.0,545.0,248.0,502.0,488.0,250.0,468.0,249.0,550.0,455.0,553.0,544.0,595.0,459.0,491.0,473.0,537.0,435.0,246.0,470.0,444.0,94.0,93.0,498.0,105.0,469.0,454.0,475.0
base_weighted_total,SCR10,13124.0,543.0,475.0,544.0,442.0,571.0,497.0,476.0,566.0,566.0,544.0,493.0,545.0,248.0,502.0,488.0,250.0,468.0,249.0,550.0,455.0,553.0,544.0,595.0,459.0,491.0,473.0,537.0,435.0,246.0,470.0,444.0,94.0,93.0,498.0,105.0,469.0,454.0,475.0
1_9,SCR10,12309.0,521.0,438.0,525.0,397.0,481.0,468.0,440.0,535.0,534.0,519.0,455.0,516.0,229.0,459.0,462.0,217.0,447.0,235.0,531.0,408.0,527.0,514.0,560.0,434.0,478.0,448.0,508.0,392.0,233.0,434.0,308.0,83.0,78.0,454.0,98.0,424.0,430.0,376.0
1_9_percentage,SCR10,93.8,96.0,92.1,96.4,89.8,84.2,94.2,92.4,94.5,94.3,95.4,92.3,94.6,92.5,91.4,94.6,86.7,95.6,94.4,96.6,89.7,95.4,94.5,94.2,94.5,97.3,94.6,94.7,90.1,94.5,92.3,69.4,88.6,84.0,91.2,93.2,90.4,94.7,79.1
10_49,SCR10,709.0,19.0,32.0,16.0,38.0,78.0,25.0,31.0,28.0,29.0,22.0,33.0,26.0,16.0,37.0,22.0,28.0,18.0,12.0,16.0,41.0,22.0,26.0,30.0,21.0,11.0,22.0,24.0,37.0,12.0,32.0,116.0,10.0,13.0,38.0,6.0,38.0,23.0,82.0
10_49_percentage,SCR10,5.4,3.4,6.7,3.0,8.6,13.7,5.0,6.5,5.0,5.1,4.1,6.7,4.8,6.6,7.4,4.5,11.0,3.8,4.8,2.8,9.0,3.9,4.8,5.0,4.7,2.2,4.6,4.5,8.6,4.7,6.7,26.2,10.7,13.5,7.6,5.7,8.1,5.0,17.3
50_249,SCR10,106.0,3.0,6.0,3.0,7.0,12.0,4.0,6.0,3.0,4.0,3.0,5.0,3.0,2.0,6.0,4.0,6.0,3.0,2.0,3.0,6.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,6.0,2.0,5.0,20.0,1.0,2.0,6.0,1.0,7.0,1.0,17.0
50_249_percentage,SCR10,0.8,0.6,1.2,0.6,1.6,2.0,0.9,1.2,0.5,0.7,0.6,1.0,0.6,1.0,1.3,0.9,2.3,0.6,0.8,0.6,1.3,0.7,0.8,0.8,0.8,0.4,0.8,0.8,1.3,0.8,1.0,4.4,0.7,2.5,1.2,1.0,1.5,0.3,3.7
250_499,SCR10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250_499_percentage,SCR10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500_,SCR10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500__percentage,SCR10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
don_t_know_no_answer,SCR10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
don_t_know_no_answer_percentage,SCR10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
