,EU27,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,IS,NO,CH,ME,MD,MK,AL,RS,TR,US
base_total,13124.0,543.0,475.0,544.0,442.0,571.0,497.0,476.0,566.0,566.0,544.0,493.0,545.0,248.0,502.0,488.0,250.0,468.0,249.0,550.0,455.0,553.0,544.0,595.0,459.0,491.0,473.0,537.0,435.0,246.0,470.0,444.0,94.0,93.0,498.0,105.0,469.0,454.0,475.0
base_weighted_total,13124.0,543.0,475.0,544.0,442.0,571.0,497.0,476.0,566.0,566.0,544.0,493.0,545.0,248.0,502.0,488.0,250.0,468.0,249.0,550.0,455.0,553.0,544.0,595.0,459.0,491.0,473.0,537.0,435.0,246.0,470.0,444.0,94.0,93.0,498.0,105.0,469.0,454.0,475.0
a_tool_to_self_assess_how_resource_efficient_your_company_is_with_respect_to_other_companies,1905.0,129.0,56.0,46.0,82.0,116.0,35.0,99.0,91.0,130.0,77.0,38.0,58.0,27.0,29.0,60.0,27.0,35.0,27.0,75.0,61.0,79.0,42.0,39.0,37.0,33.0,106.0,104.0,87.0,39.0,110.0,96.0,6.0,4.0,20.0,4.0,17.0,73.0,73.0
a_tool_to_self_assess_how_resource_efficient_your_company_is_with_respect_to_other_companies_percentage,14.5,23.8,11.8,8.4,18.7,20.3,7.1,20.9,16.0,23.0,14.1,7.7,10.6,11.0,5.7,12.3,10.9,7.4,10.8,13.6,13.5,14.3,7.8,6.5,8.0,6.7,22.3,19.4,19.9,15.9,23.5,21.7,6.4,4.0,4.0,3.5,3.7,16.2,15.3
consultancy_on_how_to_improve_resource_efficiency_in_your_company,3220.0,142.0,116.0,112.0,134.0,97.0,70.0,65.0,173.0,213.0,127.0,76.0,156.0,75.0,88.0,160.0,55.0,89.0,39.0,152.0,81.0,76.0,120.0,154.0,72.0,126.0,126.0,144.0,69.0,77.0,76.0,104.0,4.0,29.0,53.0,21.0,100.0,85.0,88.0
consultancy_on_how_to_improve_resource_efficiency_in_your_company_percentage,24.5,26.2,24.4,20.6,30.4,17.0,14.2,13.7,30.6,37.7,23.3,15.5,28.7,30.3,17.5,32.7,22.0,19.1,15.6,27.6,17.7,13.8,22.0,25.8,15.7,25.6,26.6,26.9,15.8,31.2,16.1,23.4,4.2,31.5,10.7,19.6,21.4,18.8,18.5
grants_or_subsidies,4794.0,241.0,193.0,172.0,134.0,193.0,163.0,184.0,315.0,259.0,216.0,222.0,108.0,145.0,139.0,231.0,68.0,221.0,141.0,182.0,145.0,219.0,146.0,270.0,241.0,247.0,153.0,193.0,187.0,57.0,163.0,203.0,57.0,45.0,215.0,26.0,263.0,83.0,138.0
grants_or_subsidies_percentage,36.5,44.4,40.6,31.7,30.3,33.8,32.9,38.6,55.7,45.8,39.7,45.1,19.7,58.7,27.6,47.3,27.3,47.2,56.5,33.0,31.9,39.7,26.8,45.4,52.5,50.3,32.2,35.9,42.9,23.0,34.6,45.7,60.9,48.5,43.2,24.5,56.1,18.4,29.0
advice_on_funding_possibilities_and_financial_planning_for_resource_efficiency_investments,3070.0,163.0,117.0,162.0,83.0,84.0,83.0,88.0,177.0,189.0,149.0,89.0,102.0,78.0,94.0,165.0,67.0,56.0,84.0,64.0,139.0,122.0,158.0,205.0,71.0,148.0,61.0,93.0,133.0,26.0,137.0,82.0,18.0,10.0,71.0,12.0,79.0,108.0,97.0
advice_on_funding_possibilities_and_financial_planning_for_resource_efficiency_investments_percentage,23.4,30.0,24.6,29.8,18.7,14.7,16.6,18.5,31.3,33.4,27.3,18.1,18.8,31.3,18.7,33.9,26.8,11.9,33.6,11.7,30.5,22.0,29.1,34.4,15.5,30.2,13.0,17.3,30.5,10.7,29.2,18.6,19.5,10.8,14.2,11.3,16.8,23.8,20.4
demonstration_of_new_technologies_or_processes_to_improve_resource_efficiency,2839.0,157.0,71.0,154.0,117.0,129.0,95.0,127.0,146.0,130.0,115.0,71.0,126.0,77.0,81.0,117.0,68.0,122.0,42.0,102.0,93.0,85.0,70.0,127.0,59.0,109.0,91.0,120.0,87.0,81.0,103.0,128.0,17.0,9.0,40.0,8.0,72.0,131.0,118.0
demonstration_of_new_technologies_or_processes_to_improve_resource_efficiency_percentage,21.6,28.9,15.0,28.4,26.6,22.6,19.1,26.7,25.7,23.0,21.1,14.3,23.1,31.2,16.1,23.9,27.2,26.0,16.7,18.6,20.4,15.3,12.8,21.3,12.9,22.2,19.2,22.4,20.1,33.0,21.9,28.8,17.9,10.0,8.1,7.9,15.3,28.8,24.8
database_with_case_studies_that_show_the_benefits_of_resource_efficiency_for_companies,2124.0,117.0,92.0,102.0,102.0,118.0,79.0,60.0,91.0,141.0,68.0,43.0,59.0,40.0,46.0,74.0,41.0,47.0,45.0,88.0,108.0,87.0,35.0,100.0,80.0,103.0,85.0,90.0,60.0,39.0,64.0,87.0,14.0,5.0,22.0,3.0,42.0,82.0,67.0
database_with_case_studies_that_show_the_benefits_of_resource_efficiency_for_companies_percentage,16.2,21.6,19.4,18.7,23.0,20.7,15.8,12.7,16.1,24.9,12.5,8.7,10.8,16.1,9.3,15.1,16.4,10.1,18.1,16.1,23.7,15.6,6.4,16.8,17.4,21.0,18.0,16.8,13.9,15.9,13.7,19.7,15.1,4.9,4.5,2.7,9.0,18.0,14.1
better_cooperation_between_companies_across_sectors_so_that_new_processes_to_re_use_waste_and_by_products_can_be_developed,3249.0,177.0,126.0,125.0,109.0,101.0,111.0,84.0,91.0,182.0,155.0,72.0,154.0,25.0,53.0,107.0,44.0,67.0,70.0,175.0,97.0,91.0,110.0,175.0,67.0,108.0,138.0,129.0,106.0,49.0,174.0,99.0,17.0,13.0,93.0,22.0,87.0,122.0,108.0
better_cooperation_between_companies_across_sectors_so_that_new_processes_to_re_use_waste_and_by_products_can_be_developed_percentage,24.8,32.5,26.6,23.1,24.7,17.7,22.4,17.7,16.1,32.2,28.4,14.6,28.3,10.0,10.6,21.9,17.8,14.4,28.2,31.7,21.2,16.4,20.3,29.5,14.7,22.0,29.2,24.1,24.4,20.1,37.0,22.2,17.9,14.4,18.8,20.8,18.5,26.9,22.6
clearer_rules_on_the_use_of_secondary_raw_materials,2436.0,133.0,91.0,103.0,38.0,96.0,46.0,71.0,35.0,110.0,93.0,45.0,153.0,28.0,48.0,90.0,53.0,29.0,25.0,55.0,85.0,138.0,91.0,116.0,67.0,78.0,90.0,58.0,54.0,37.0,65.0,76.0,11.0,27.0,33.0,8.0,61.0,87.0,71.0
clearer_rules_on_the_use_of_secondary_raw_materials_percentage,18.6,24.4,19.1,19.0,8.5,16.8,9.3,14.9,6.1,19.5,17.0,9.1,28.2,11.4,9.6,18.4,21.1,6.2,9.9,10.0,18.6,24.9,16.8,19.5,14.5,15.9,19.0,10.9,12.4,14.9,13.9,17.2,12.1,29.3,6.6,7.8,12.9,19.1,14.9
