,EU27,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,IS,NO,CH,ME,MD,MK,AL,RS,TR,US,file_code
base_total,13124.0,543.0,475.0,544.0,442.0,571.0,497.0,476.0,566.0,566.0,544.0,493.0,545.0,248.0,502.0,488.0,250.0,468.0,249.0,550.0,455.0,553.0,544.0,595.0,459.0,491.0,473.0,537.0,435.0,246.0,470.0,444.0,94.0,93.0,498.0,105.0,469.0,454.0,475.0,SCR12_(b)
base_weighted_total,13124.0,543.0,475.0,544.0,442.0,571.0,497.0,476.0,566.0,566.0,544.0,493.0,545.0,248.0,502.0,488.0,250.0,468.0,249.0,550.0,455.0,553.0,544.0,595.0,459.0,491.0,473.0,537.0,435.0,246.0,470.0,444.0,94.0,93.0,498.0,105.0,469.0,454.0,475.0,SCR12_(b)
before_1_january_2016,10010.0,396.0,302.0,412.0,336.0,438.0,367.0,319.0,419.0,470.0,462.0,445.0,419.0,192.0,349.0,247.0,171.0,412.0,176.0,289.0,370.0,484.0,368.0,303.0,380.0,387.0,327.0,381.0,373.0,198.0,338.0,366.0,86.0,51.0,368.0,88.0,432.0,365.0,419.0,SCR12_(b)
before_1_january_2016_percentage,76.3,73.0,63.5,75.8,76.0,76.7,73.9,67.0,74.0,83.1,85.0,90.2,76.8,77.3,69.6,50.5,68.5,88.0,70.6,52.5,81.2,87.6,67.6,50.9,82.7,78.9,69.0,70.9,85.7,80.5,71.8,82.5,91.1,54.5,73.8,83.4,92.1,80.4,88.2,SCR12_(b)
between_1_january_2016_and_31_december_2018,1477.0,56.0,54.0,63.0,40.0,72.0,60.0,65.0,67.0,68.0,53.0,20.0,46.0,16.0,97.0,63.0,30.0,42.0,27.0,92.0,26.0,47.0,72.0,126.0,35.0,67.0,61.0,62.0,30.0,25.0,71.0,24.0,7.0,8.0,28.0,9.0,31.0,43.0,24.0,SCR12_(b)
between_1_january_2016_and_31_december_2018_percentage,11.3,10.2,11.3,11.6,9.1,12.6,12.0,13.6,11.9,12.1,9.7,4.1,8.5,6.3,19.3,13.0,12.1,8.9,11.0,16.8,5.7,8.5,13.2,21.2,7.5,13.6,13.0,11.6,7.0,10.0,15.1,5.4,7.8,8.3,5.7,8.4,6.6,9.5,5.1,SCR12_(b)
between_1_january_2019_and_1_january_2023,1246.0,78.0,107.0,61.0,57.0,52.0,67.0,47.0,71.0,22.0,17.0,27.0,64.0,35.0,41.0,124.0,28.0,14.0,28.0,78.0,48.0,14.0,73.0,163.0,43.0,31.0,79.0,88.0,21.0,18.0,45.0,43.0,1.0,35.0,85.0,6.0,6.0,33.0,22.0,SCR12_(b)
between_1_january_2019_and_1_january_2023_percentage,9.5,14.4,22.4,11.1,12.8,9.1,13.5,9.9,12.5,3.9,3.2,5.4,11.8,14.1,8.1,25.5,11.2,3.1,11.4,14.3,10.6,2.5,13.4,27.5,9.4,6.2,16.8,16.4,4.7,7.5,9.6,9.7,1.1,37.2,17.1,5.6,1.2,7.3,4.7,SCR12_(b)
after_1_january_2023,339.0,13.0,7.0,8.0,9.0,6.0,2.0,16.0,7.0,5.0,12.0,0.0,14.0,6.0,4.0,54.0,15.0,0.0,14.0,91.0,2.0,4.0,20.0,2.0,2.0,4.0,6.0,6.0,11.0,4.0,16.0,6.0,0.0,0.0,7.0,3.0,0.0,6.0,9.0,SCR12_(b)
after_1_january_2023_percentage,2.6,2.3,1.6,1.5,2.1,1.1,0.4,3.5,1.2,0.9,2.1,0.0,2.5,2.3,0.8,11.0,6.0,0.0,5.8,16.5,0.4,0.8,3.7,0.4,0.3,0.8,1.2,1.1,2.4,1.4,3.5,1.4,0.0,0.0,1.5,2.6,0.0,1.4,1.8,SCR12_(b)
don_t_know_no_answer,52.0,0.0,5.0,0.0,0.0,3.0,1.0,29.0,2.0,0.0,0.0,1.0,2.0,0.0,11.0,0.0,6.0,0.0,3.0,0.0,9.0,3.0,11.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,10.0,0.0,0.0,6.0,1.0,SCR12_(b)
don_t_know_no_answer_percentage,0.4,0.0,1.1,0.0,0.1,0.5,0.2,6.0,0.4,0.0,0.0,0.3,0.4,0.0,2.2,0.0,2.3,0.0,1.3,0.0,2.1,0.6,2.1,0.0,0.0,0.5,0.0,0.0,0.1,0.5,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.4,0.1,SCR12_(b)
