,file_code,EU27,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,IS,NO,CH,ME,MD,MK,AL,RS,TR,US
base_total,Q5_(b),12184.0,528.0,438.0,518.0,415.0,524.0,433.0,434.0,519.0,559.0,522.0,435.0,519.0,218.0,399.0,462.0,244.0,423.0,236.0,536.0,449.0,505.0,497.0,514.0,417.0,471.0,452.0,517.0,424.0,216.0,439.0,422.0,73.0,73.0,329.0,67.0,393.0,413.0,450.0
base_weighted_total,Q5_(b),12066.0,511.0,426.0,502.0,395.0,505.0,412.0,448.0,492.0,556.0,507.0,412.0,516.0,215.0,362.0,447.0,240.0,371.0,237.0,533.0,444.0,496.0,490.0,486.0,362.0,469.0,439.0,487.0,427.0,204.0,414.0,411.0,77.0,70.0,273.0,49.0,362.0,382.0,447.0
its_own_financial_resources,Q5_(b),7312.0,361.0,293.0,388.0,219.0,345.0,323.0,267.0,384.0,329.0,214.0,270.0,260.0,148.0,211.0,329.0,158.0,238.0,165.0,339.0,353.0,295.0,274.0,416.0,265.0,366.0,269.0,321.0,260.0,100.0,244.0,257.0,42.0,52.0,187.0,33.0,240.0,216.0,278.0
its_own_financial_resources_percentage,Q5_(b),60.6,70.7,68.7,77.3,55.4,68.4,78.4,59.6,78.0,59.2,42.2,65.6,50.3,69.1,58.3,73.6,65.8,64.0,69.7,63.6,79.5,59.6,56.0,85.6,73.2,78.0,61.3,65.9,60.8,49.2,59.1,62.6,54.1,74.4,68.4,68.2,66.2,56.5,62.2
its_own_technical_expertise,Q5_(b),6007.0,221.0,226.0,334.0,190.0,299.0,252.0,127.0,216.0,246.0,169.0,157.0,305.0,88.0,179.0,222.0,83.0,150.0,117.0,226.0,281.0,303.0,203.0,195.0,223.0,288.0,241.0,278.0,253.0,75.0,191.0,183.0,34.0,21.0,63.0,6.0,127.0,134.0,219.0
its_own_technical_expertise_percentage,Q5_(b),49.8,43.2,53.1,66.6,48.0,59.2,61.3,28.3,43.8,44.2,33.4,38.1,59.1,41.0,49.5,49.8,34.6,40.5,49.4,42.4,63.3,61.1,41.5,40.1,61.7,61.4,54.8,57.0,59.3,37.1,46.3,44.6,44.5,29.8,23.1,11.9,35.0,35.0,48.9
external_support,Q5_(b),2745.0,132.0,58.0,89.0,93.0,136.0,21.0,116.0,77.0,143.0,152.0,51.0,136.0,31.0,23.0,65.0,58.0,122.0,78.0,154.0,135.0,32.0,57.0,41.0,73.0,104.0,97.0,74.0,113.0,20.0,162.0,167.0,12.0,7.0,34.0,11.0,105.0,78.0,136.0
external_support_percentage,Q5_(b),22.7,25.8,13.7,17.6,23.6,26.9,5.0,25.8,15.7,25.7,30.1,12.3,26.4,14.5,6.4,14.5,24.2,32.8,32.9,28.9,30.4,6.4,11.7,8.4,20.1,22.2,22.0,15.2,26.4,9.6,39.2,40.7,16.1,9.7,12.5,22.3,28.9,20.5,30.5
other_do_not_read_out_,Q5_(b),301.0,15.0,19.0,4.0,18.0,27.0,3.0,1.0,10.0,29.0,21.0,12.0,0.0,8.0,3.0,11.0,5.0,16.0,5.0,8.0,0.0,0.0,17.0,3.0,12.0,5.0,6.0,14.0,0.0,3.0,10.0,9.0,0.0,7.0,10.0,0.0,6.0,3.0,8.0
other_do_not_read_out__percentage,Q5_(b),2.5,2.9,4.4,0.8,4.5,5.3,0.6,0.2,2.0,5.2,4.1,3.0,0.0,3.6,0.8,2.5,2.0,4.4,2.2,1.4,0.0,0.1,3.5,0.6,3.4,1.1,1.3,2.9,0.0,1.3,2.4,2.3,0.0,9.9,3.8,0.0,1.8,0.7,1.8
don_t_know_no_answer,Q5_(b),685.0,79.0,11.0,21.0,29.0,30.0,20.0,36.0,9.0,51.0,45.0,29.0,8.0,8.0,31.0,32.0,11.0,27.0,11.0,22.0,2.0,20.0,37.0,6.0,10.0,29.0,10.0,40.0,33.0,55.0,24.0,28.0,9.0,2.0,17.0,1.0,10.0,40.0,52.0
don_t_know_no_answer_percentage,Q5_(b),5.7,15.5,2.5,4.3,7.4,6.0,4.8,8.0,1.8,9.3,8.8,7.0,1.6,3.6,8.5,7.1,4.5,7.3,4.6,4.2,0.4,3.9,7.5,1.2,2.7,6.1,2.3,8.1,7.7,26.9,5.8,6.7,11.3,2.2,6.1,2.1,2.8,10.4,11.5
