,file_code,EU27,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,IS,NO,CH,ME,MD,MK,AL,RS,TR,US
base_total,Q3_(b),12184.0,528.0,438.0,518.0,415.0,524.0,433.0,434.0,519.0,559.0,522.0,435.0,519.0,218.0,399.0,462.0,244.0,423.0,236.0,536.0,449.0,505.0,497.0,514.0,417.0,471.0,452.0,517.0,424.0,216.0,439.0,422.0,73.0,73.0,329.0,67.0,393.0,413.0,450.0
base_weighted_total,Q3_(b),12066.0,511.0,426.0,502.0,395.0,505.0,412.0,448.0,492.0,556.0,507.0,412.0,516.0,215.0,362.0,447.0,240.0,371.0,237.0,533.0,444.0,496.0,490.0,486.0,362.0,469.0,439.0,487.0,427.0,204.0,414.0,411.0,77.0,70.0,273.0,49.0,362.0,382.0,447.0
significantly_decreased,Q3_(b),490.0,30.0,6.0,14.0,21.0,29.0,8.0,37.0,28.0,22.0,21.0,33.0,3.0,14.0,5.0,17.0,22.0,27.0,9.0,32.0,15.0,6.0,65.0,25.0,20.0,14.0,22.0,19.0,34.0,0.0,14.0,11.0,1.0,9.0,22.0,2.0,31.0,29.0,13.0
significantly_decreased_percentage,Q3_(b),4.1,5.9,1.3,2.8,5.3,5.7,2.0,8.2,5.7,4.0,4.2,8.0,0.5,6.6,1.4,3.7,9.1,7.1,3.7,6.1,3.4,1.2,13.3,5.2,5.5,3.0,5.0,3.9,7.9,0.1,3.3,2.8,1.4,13.3,8.1,4.3,8.5,7.5,2.8
slightly_decreased,Q3_(b),3126.0,135.0,181.0,173.0,104.0,111.0,145.0,89.0,155.0,122.0,75.0,142.0,173.0,93.0,99.0,159.0,66.0,126.0,70.0,99.0,165.0,103.0,162.0,178.0,98.0,146.0,141.0,117.0,73.0,20.0,88.0,84.0,22.0,23.0,72.0,14.0,132.0,129.0,85.0
slightly_decreased_percentage,Q3_(b),25.9,26.4,42.5,34.4,26.4,22.1,35.2,19.7,31.6,21.9,14.7,34.4,33.5,43.2,27.4,35.6,27.7,33.8,29.8,18.5,37.0,20.9,33.2,36.7,27.0,31.2,32.1,24.1,17.2,10.0,21.4,20.4,28.9,33.4,26.4,29.0,36.4,33.7,18.9
slightly_increased,Q3_(b),2380.0,103.0,75.0,109.0,55.0,121.0,56.0,125.0,86.0,149.0,95.0,70.0,84.0,23.0,68.0,65.0,63.0,60.0,52.0,93.0,84.0,88.0,90.0,78.0,95.0,97.0,69.0,121.0,103.0,37.0,125.0,84.0,7.0,7.0,37.0,8.0,35.0,47.0,116.0
slightly_increased_percentage,Q3_(b),19.7,20.2,17.6,21.7,14.0,24.0,13.5,27.8,17.5,26.8,18.7,17.0,16.2,10.9,18.6,14.5,26.3,16.1,22.1,17.4,18.9,17.7,18.3,16.1,26.1,20.7,15.7,24.9,24.2,18.2,30.2,20.5,9.4,9.4,13.5,16.2,9.5,12.2,25.9
significantly_increased,Q3_(b),1884.0,68.0,36.0,55.0,21.0,127.0,41.0,57.0,57.0,100.0,149.0,38.0,48.0,15.0,61.0,8.0,4.0,45.0,13.0,33.0,28.0,104.0,39.0,71.0,31.0,40.0,25.0,37.0,40.0,12.0,47.0,38.0,10.0,10.0,66.0,6.0,90.0,95.0,107.0
significantly_increased_percentage,Q3_(b),15.6,13.3,8.4,11.0,5.3,25.0,9.9,12.7,11.6,18.0,29.5,9.2,9.3,7.1,16.8,1.8,1.8,12.2,5.5,6.3,6.3,21.0,8.0,14.5,8.6,8.5,5.7,7.5,9.4,5.9,11.4,9.3,13.4,14.7,24.3,11.4,24.8,24.9,24.0
