criteria,file_code,EU27,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,IS,NO,CH,ME,MD,MK,AL,RS,TR,US
designing_products_that_are_easier_to_maintain_repair_or_reuse_percentage,Q2,28.7,36.3,26.7,37.3,21.2,25.8,20.5,16.1,27.5,56.3,28.2,18.0,27.3,13.7,20.1,30.0,25.7,19.8,5.7,21.6,25.8,17.1,5.4,35.6,8.0,32.1,14.6,33.4,30.4,16.2,36.5,13.5,8.5,8.5,8.0,5.1,8.0,44.7,49.6
other_do_not_read_out_,Q2,221.0,0.0,5.0,12.0,19.0,14.0,5.0,29.0,2.0,0.0,7.0,9.0,6.0,4.0,17.0,2.0,20.0,10.0,34.0,8.0,4.0,5.0,48.0,4.0,37.0,11.0,9.0,18.0,5.0,11.0,5.0,24.0,0.0,8.0,39.0,0.0,8.0,0.0,0.0
other_do_not_read_out__percentage,Q2,1.7,0.0,1.0,2.1,4.3,2.5,1.1,6.2,0.4,0.0,1.2,1.8,1.0,1.6,3.3,0.5,8.0,2.1,13.5,1.5,0.8,0.9,8.9,0.7,8.1,2.2,1.8,3.3,1.3,4.7,1.0,5.5,0.0,9.1,7.9,0.2,1.7,0.0,0.0
none_do_not_read_out_,Q2,2162.0,51.0,59.0,88.0,106.0,116.0,99.0,46.0,97.0,12.0,60.0,129.0,119.0,57.0,154.0,39.0,42.0,146.0,69.0,121.0,55.0,119.0,87.0,60.0,187.0,34.0,186.0,95.0,41.0,40.0,77.0,130.0,13.0,15.0,158.0,50.0,118.0,88.0,43.0
none_do_not_read_out__percentage,Q2,16.5,9.4,12.5,16.2,24.0,20.3,20.0,9.7,17.2,2.1,11.0,26.3,21.9,22.8,30.7,8.0,16.8,31.1,27.7,22.1,12.2,21.5,16.1,10.1,40.7,7.0,39.4,17.7,9.4,16.2,16.4,29.3,13.3,16.5,31.7,47.6,25.2,19.3,9.1
don_t_know_no_answer,Q2,345.0,3.0,26.0,0.0,18.0,11.0,6.0,23.0,2.0,4.0,8.0,18.0,26.0,3.0,21.0,0.0,11.0,12.0,37.0,40.0,5.0,9.0,62.0,5.0,0.0,1.0,4.0,2.0,12.0,31.0,10.0,21.0,3.0,2.0,25.0,6.0,11.0,16.0,5.0
don_t_know_no_answer_percentage,Q2,2.6,0.6,5.5,0.0,4.0,1.9,1.2,4.8,0.4,0.8,1.6,3.7,4.7,1.4,4.2,0.0,4.3,2.5,14.7,7.3,1.1,1.6,11.4,0.8,0.1,0.3,0.9,0.4,2.7,12.4,2.1,4.8,2.9,2.1,5.1,6.0,2.4,3.6,1.1
5_or_more_actions,Q2,5173.0,345.0,171.0,261.0,163.0,215.0,123.0,0.0,262.0,445.0,240.0,120.0,149.0,61.0,137.0,313.0,10.0,150.0,6.0,145.0,82.0,142.0,0.0,283.0,56.0,297.0,95.0,269.0,190.0,68.0,194.0,97.0,18.0,9.0,30.0,4.0,61.0,213.0,311.0
5_or_more_actions_percentage,Q2,39.4,63.5,36.0,47.9,37.0,37.6,24.7,0.0,46.2,78.6,44.1,24.3,27.4,24.6,27.2,64.2,4.2,32.0,2.4,26.4,18.1,25.7,0.0,47.6,12.2,60.6,20.1,50.1,43.6,27.4,41.3,21.9,18.9,10.0,6.0,4.2,13.0,47.0,65.4
3_or_4_actions,Q2,2775.0,74.0,103.0,96.0,53.0,111.0,102.0,64.0,82.0,68.0,88.0,63.0,201.0,47.0,59.0,86.0,100.0,56.0,55.0,183.0,233.0,131.0,98.0,85.0,44.0,96.0,63.0,42.0,172.0,35.0,82.0,65.0,25.0,35.0,73.0,9.0,56.0,49.0,69.0
3_or_4_actions_percentage,Q2,21.1,13.7,21.7,17.7,11.9,19.4,20.5,13.5,14.5,12.0,16.1,12.9,36.8,18.9,11.8,17.7,40.0,12.0,22.0,33.3,51.3,23.8,18.0,14.2,9.5,19.5,13.3,7.8,39.5,14.3,17.5,14.7,26.3,38.1,14.6,8.5,12.0,10.8,14.6
1_or_2_actions,Q2,2669.0,69.0,116.0,99.0,102.0,119.0,167.0,342.0,123.0,37.0,148.0,162.0,50.0,80.0,131.0,49.0,87.0,105.0,83.0,60.0,79.0,152.0,297.0,162.0,172.0,62.0,124.0,129.0,21.0,73.0,106.0,130.0,36.0,31.0,212.0,35.0,223.0,88.0,47.0
1_or_2_actions_percentage,Q2,20.3,12.8,24.3,18.2,23.2,20.8,33.6,71.9,21.7,6.5,27.2,32.8,9.2,32.3,26.1,10.1,34.7,22.3,33.2,10.9,17.4,27.4,54.6,27.2,37.5,12.7,26.3,23.9,4.7,29.6,22.6,29.3,38.5,33.4,42.6,33.7,47.4,19.3,9.8
no_actions,Q2,2162.0,51.0,59.0,88.0,106.0,116.0,99.0,46.0,97.0,12.0,60.0,129.0,119.0,57.0,154.0,39.0,42.0,146.0,69.0,121.0,55.0,119.0,87.0,60.0,187.0,34.0,186.0,95.0,41.0,40.0,77.0,130.0,13.0,15.0,158.0,50.0,118.0,88.0,43.0
no_actions_percentage,Q2,16.5,9.4,12.5,16.2,24.0,20.3,20.0,9.7,17.2,2.1,11.0,26.3,21.9,22.8,30.7,8.0,16.8,31.1,27.7,22.1,12.2,21.5,16.1,10.1,40.7,7.0,39.4,17.7,9.4,16.2,16.4,29.3,13.3,16.5,31.7,47.6,25.2,19.3,9.1
