criteria,file_code,EU27,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,IS,NO,CH,ME,MD,MK,AL,RS,TR,US
base_total,Q2,13124.0,543.0,475.0,544.0,442.0,571.0,497.0,476.0,566.0,566.0,544.0,493.0,545.0,248.0,502.0,488.0,250.0,468.0,249.0,550.0,455.0,553.0,544.0,595.0,459.0,491.0,473.0,537.0,435.0,246.0,470.0,444.0,94.0,93.0,498.0,105.0,469.0,454.0,475.0
base_weighted_total,Q2,13124.0,543.0,475.0,544.0,442.0,571.0,497.0,476.0,566.0,566.0,544.0,493.0,545.0,248.0,502.0,488.0,250.0,468.0,249.0,550.0,455.0,553.0,544.0,595.0,459.0,491.0,473.0,537.0,435.0,246.0,470.0,444.0,94.0,93.0,498.0,105.0,469.0,454.0,475.0
save_water,Q2,5862.0,309.0,229.0,273.0,162.0,198.0,183.0,45.0,276.0,450.0,293.0,152.0,203.0,61.0,160.0,352.0,51.0,177.0,28.0,132.0,148.0,234.0,53.0,296.0,62.0,365.0,76.0,214.0,153.0,55.0,102.0,93.0,34.0,39.0,58.0,13.0,87.0,215.0,317.0
save_water_percentage,Q2,44.7,57.0,48.2,50.1,36.6,34.7,36.8,9.4,48.8,79.4,53.8,30.8,37.3,24.7,31.8,72.2,20.2,37.8,11.3,24.0,32.6,42.3,9.7,49.8,13.6,74.3,16.0,39.9,35.2,22.2,21.7,20.9,36.1,42.3,11.6,12.0,18.6,47.4,66.7
save_energy,Q2,7554.0,420.0,252.0,323.0,246.0,324.0,252.0,139.0,383.0,478.0,358.0,205.0,272.0,124.0,223.0,389.0,82.0,215.0,34.0,238.0,227.0,272.0,97.0,376.0,101.0,396.0,196.0,321.0,284.0,97.0,246.0,183.0,48.0,47.0,114.0,22.0,149.0,242.0,350.0
save_energy_percentage,Q2,57.6,77.3,53.1,59.5,55.6,56.7,50.7,29.2,67.7,84.4,65.9,41.6,49.9,50.2,44.4,79.8,32.9,46.0,13.7,43.4,49.8,49.2,17.8,63.2,22.0,80.6,41.5,59.7,65.2,39.5,52.4,41.1,51.2,51.1,22.8,21.1,31.7,53.3,73.6
use_predominantly_renewable_energy_e_g_including_own_production_through_solar_panels_etc_,Q2,4465.0,318.0,138.0,177.0,130.0,242.0,77.0,78.0,226.0,284.0,151.0,124.0,166.0,94.0,86.0,224.0,46.0,150.0,61.0,202.0,145.0,114.0,107.0,247.0,98.0,147.0,90.0,223.0,111.0,63.0,141.0,136.0,19.0,21.0,79.0,12.0,98.0,123.0,135.0
use_predominantly_renewable_energy_e_g_including_own_production_through_solar_panels_etc__percentage,Q2,34.0,58.6,29.0,32.6,29.5,42.4,15.4,16.5,39.9,50.3,27.8,25.1,30.5,37.9,17.2,46.0,18.6,32.1,24.4,36.8,31.9,20.7,19.7,41.5,21.4,30.0,19.0,41.4,25.5,25.4,30.1,30.5,20.2,23.0,15.9,11.7,20.9,27.1,28.4
save_materials,Q2,6141.0,337.0,235.0,291.0,184.0,260.0,215.0,102.0,290.0,457.0,226.0,161.0,223.0,88.0,222.0,372.0,58.0,189.0,39.0,181.0,177.0,229.0,66.0,323.0,83.0,349.0,137.0,266.0,181.0,87.0,219.0,118.0,27.0,44.0,91.0,10.0,102.0,267.0,331.0
save_materials_percentage,Q2,46.8,62.0,49.4,53.5,41.7,45.5,43.3,21.4,51.2,80.8,41.6,32.7,40.9,35.4,44.2,76.1,23.2,40.5,15.7,32.8,38.9,41.4,12.1,54.2,18.1,71.1,28.9,49.6,41.5,35.5,46.7,26.5,28.5,47.1,18.2,9.2,21.6,58.9,69.7
switch_to_greener_suppliers_of_materials,Q2,4535.0,281.0,165.0,192.0,130.0,204.0,113.0,87.0,243.0,369.0,222.0,105.0,115.0,70.0,117.0,266.0,45.0,91.0,47.0,137.0,47.0,146.0,72.0,255.0,74.0,228.0,79.0,203.0,235.0,57.0,205.0,109.0,9.0,13.0,44.0,4.0,59.0,229.0,260.0
switch_to_greener_suppliers_of_materials_percentage,Q2,34.6,51.8,34.6,35.3,29.3,35.7,22.7,18.3,42.9,65.2,40.9,21.3,21.0,28.4,23.3,54.5,18.0,19.4,18.8,24.9,10.2,26.5,13.2,42.9,16.0,46.5,16.7,37.8,54.1,23.3,43.5,24.6,10.1,13.9,8.8,3.9,12.5,50.4,54.8
minimise_waste,Q2,6939.0,434.0,270.0,351.0,204.0,248.0,210.0,55.0,288.0,481.0,336.0,210.0,224.0,91.0,169.0,354.0,56.0,181.0,38.0,237.0,241.0,243.0,136.0,327.0,94.0,386.0,161.0,317.0,275.0,122.0,278.0,146.0,49.0,15.0,106.0,12.0,129.0,230.0,368.0
minimise_waste_percentage,Q2,52.9,79.9,56.8,64.6,46.2,43.4,42.2,11.5,50.8,85.0,61.8,42.7,41.1,36.9,33.6,72.5,22.4,38.7,15.3,43.2,52.9,43.9,25.0,55.0,20.4,78.5,34.0,59.1,63.3,49.6,59.1,32.9,52.1,16.1,21.2,11.3,27.6,50.8,77.4
sell_your_residues_and_waste_to_another_company,Q2,2946.0,161.0,111.0,160.0,91.0,106.0,61.0,32.0,147.0,203.0,152.0,69.0,81.0,26.0,101.0,183.0,44.0,76.0,19.0,106.0,119.0,105.0,43.0,172.0,38.0,149.0,64.0,105.0,70.0,39.0,105.0,55.0,13.0,14.0,72.0,5.0,89.0,123.0,167.0
sell_your_residues_and_waste_to_another_company_percentage,Q2,22.4,29.7,23.4,29.4,20.5,18.6,12.3,6.8,26.0,35.9,27.9,14.0,14.9,10.5,20.1,37.6,17.7,16.2,7.7,19.2,26.1,18.9,7.9,28.9,8.3,30.3,13.6,19.6,16.1,15.8,22.3,12.4,14.3,14.7,14.5,5.1,18.9,27.1,35.2
recycle_by_reusing_material_or_waste_within_the_company,Q2,5399.0,262.0,145.0,224.0,166.0,207.0,156.0,100.0,232.0,449.0,231.0,113.0,193.0,78.0,72.0,178.0,72.0,110.0,27.0,187.0,171.0,187.0,91.0,270.0,91.0,259.0,110.0,290.0,252.0,76.0,237.0,114.0,26.0,12.0,50.0,21.0,103.0,198.0,325.0
recycle_by_reusing_material_or_waste_within_the_company_percentage,Q2,41.1,48.2,30.5,41.2,37.6,36.3,31.3,21.0,40.9,79.3,42.5,22.9,35.3,31.4,14.4,36.5,29.0,23.5,10.8,34.0,37.6,33.8,16.8,45.4,19.8,52.7,23.2,54.1,57.9,30.8,50.4,25.6,28.2,12.6,10.1,19.7,22.0,43.5,68.4
designing_products_that_are_easier_to_maintain_repair_or_reuse,Q2,3761.0,197.0,127.0,203.0,94.0,147.0,102.0,77.0,156.0,319.0,153.0,89.0,149.0,34.0,101.0,146.0,64.0,93.0,14.0,119.0,118.0,94.0,29.0,212.0,37.0,157.0,69.0,179.0,132.0,40.0,172.0,60.0,8.0,8.0,40.0,5.0,37.0,203.0,235.0
