,EU27,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,IS,NO,CH,ME,MD,MK,AL,RS,TR,US,file_code
base_total,2258.0,241.0,96.0,94.0,79.0,169.0,64.0,52.0,101.0,130.0,54.0,72.0,34.0,33.0,53.0,74.0,21.0,181.0,14.0,51.0,80.0,101.0,54.0,91.0,125.0,64.0,58.0,72.0,66.0,2.0,48.0,154.0,13.0,11.0,92.0,27.0,50.0,33.0,43.0,N1b_(b)
base_weighted_total,1550.0,187.0,34.0,71.0,59.0,131.0,53.0,41.0,72.0,80.0,31.0,55.0,19.0,27.0,44.0,51.0,26.0,109.0,9.0,52.0,76.0,74.0,46.0,59.0,75.0,45.0,47.0,63.0,71.0,4.0,40.0,110.0,7.0,9.0,39.0,5.0,22.0,14.0,44.0,N1b_(b)
less_than_5_,221.0,16.0,6.0,6.0,4.0,24.0,11.0,12.0,19.0,9.0,3.0,5.0,6.0,3.0,7.0,4.0,7.0,12.0,4.0,8.0,19.0,3.0,12.0,13.0,6.0,1.0,14.0,3.0,12.0,4.0,6.0,10.0,3.0,1.0,10.0,1.0,5.0,3.0,8.0,N1b_(b)
less_than_5__percentage,14.3,8.7,17.9,8.8,6.1,18.1,20.0,29.7,26.8,11.4,10.2,8.4,33.5,11.0,15.2,8.7,25.6,11.2,40.9,14.9,25.7,3.7,27.1,22.2,7.8,2.8,29.6,4.4,17.4,96.5,14.1,9.1,35.7,13.4,26.8,27.1,21.5,24.6,18.7,N1b_(b)
between_5_19_,314.0,39.0,6.0,9.0,16.0,20.0,20.0,19.0,5.0,11.0,11.0,14.0,8.0,8.0,11.0,10.0,14.0,9.0,4.0,19.0,45.0,9.0,16.0,3.0,5.0,12.0,9.0,12.0,18.0,0.0,10.0,13.0,1.0,0.0,7.0,0.0,5.0,1.0,5.0,N1b_(b)
between_5_19__percentage,20.3,20.9,18.9,13.2,27.5,15.5,37.4,47.2,6.4,14.0,34.3,25.5,42.4,30.7,25.4,20.0,52.4,8.0,45.4,36.6,58.7,12.1,34.2,5.5,6.1,26.2,19.8,18.3,25.9,3.5,25.1,12.1,9.7,0.4,18.1,5.4,21.1,9.3,11.7,N1b_(b)
between_20_49_,359.0,60.0,3.0,33.0,7.0,29.0,14.0,3.0,23.0,11.0,3.0,11.0,4.0,3.0,13.0,2.0,0.0,26.0,1.0,6.0,4.0,27.0,12.0,9.0,12.0,17.0,10.0,20.0,30.0,0.0,10.0,31.0,0.0,7.0,4.0,1.0,4.0,3.0,12.0,N1b_(b)
between_20_49__percentage,23.2,31.9,8.8,46.4,12.1,22.5,26.9,7.5,32.4,14.4,10.1,20.2,22.0,12.5,28.3,3.9,0.7,23.8,10.4,10.7,4.7,36.6,26.6,16.1,16.3,38.1,21.4,31.2,43.1,0.0,25.6,27.8,0.8,77.1,11.5,16.9,18.2,23.5,26.8,N1b_(b)
between_50_74_,239.0,29.0,7.0,13.0,12.0,16.0,0.0,3.0,3.0,22.0,0.0,9.0,0.0,6.0,4.0,8.0,5.0,32.0,0.0,7.0,8.0,18.0,3.0,6.0,9.0,10.0,4.0,8.0,0.0,0.0,0.0,17.0,0.0,0.0,3.0,0.0,1.0,4.0,3.0,N1b_(b)
between_50_74__percentage,15.4,15.4,21.1,18.1,19.8,12.5,0.0,7.5,3.7,27.1,0.9,15.7,0.7,21.4,8.2,16.2,20.3,28.9,0.0,13.3,10.0,23.9,6.9,10.8,11.8,22.0,9.4,12.6,0.6,0.0,0.5,15.0,0.0,1.7,7.6,7.2,2.6,28.1,7.0,N1b_(b)
75_and_more,263.0,13.0,10.0,4.0,12.0,18.0,1.0,0.0,21.0,14.0,12.0,12.0,0.0,4.0,4.0,26.0,0.0,24.0,0.0,10.0,0.0,14.0,2.0,20.0,28.0,4.0,2.0,15.0,9.0,0.0,3.0,25.0,2.0,0.0,7.0,2.0,1.0,2.0,10.0,N1b_(b)
75_and_more_percentage,17.0,6.9,28.1,5.6,20.6,14.0,2.5,0.0,29.6,18.0,38.6,22.1,0.5,15.4,9.7,50.9,1.0,22.0,0.0,18.6,0.4,19.3,5.3,34.3,37.2,9.9,4.1,23.9,12.5,0.0,8.1,22.8,27.0,0.4,18.2,36.9,2.6,13.3,23.6,N1b_(b)
don_t_know_no_answer,154.0,30.0,2.0,6.0,8.0,23.0,7.0,3.0,1.0,12.0,2.0,5.0,0.0,2.0,6.0,0.0,0.0,7.0,0.0,3.0,0.0,3.0,0.0,7.0,16.0,0.0,7.0,6.0,0.0,0.0,10.0,14.0,2.0,1.0,7.0,0.0,7.0,0.0,5.0,N1b_(b)
don_t_know_no_answer_percentage,10.0,16.1,5.3,7.9,13.9,17.4,13.2,8.1,1.2,15.1,5.8,8.2,0.8,9.0,13.3,0.3,0.0,6.1,3.3,5.9,0.5,4.5,0.0,11.2,20.9,1.0,15.6,9.7,0.5,0.0,26.6,13.2,26.8,7.1,17.8,6.5,34.1,1.1,12.2,N1b_(b)
