,EU27,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,IS,NO,CH,ME,MD,MK,AL,RS,TR,US
base_total,13124.0,543.0,475.0,544.0,442.0,571.0,497.0,476.0,566.0,566.0,544.0,493.0,545.0,248.0,502.0,488.0,250.0,468.0,249.0,550.0,455.0,553.0,544.0,595.0,459.0,491.0,473.0,537.0,435.0,246.0,470.0,444.0,94.0,93.0,498.0,105.0,469.0,454.0,475.0
base_weighted_total,13124.0,543.0,475.0,544.0,442.0,571.0,497.0,476.0,566.0,566.0,544.0,493.0,545.0,248.0,502.0,488.0,250.0,468.0,249.0,550.0,455.0,553.0,544.0,595.0,459.0,491.0,473.0,537.0,435.0,246.0,470.0,444.0,94.0,93.0,498.0,105.0,469.0,454.0,475.0
increased_10_or_more_annually_on_average_over_the_past_three_years,1593.0,123.0,26.0,69.0,94.0,92.0,42.0,73.0,132.0,81.0,61.0,56.0,33.0,43.0,53.0,84.0,38.0,20.0,39.0,66.0,86.0,83.0,34.0,58.0,44.0,25.0,51.0,69.0,46.0,70.0,99.0,63.0,8.0,22.0,58.0,2.0,48.0,49.0,45.0
increased_10_or_more_annually_on_average_over_the_past_three_years_percentage,12.1,22.6,5.6,12.7,21.2,16.1,8.4,15.3,23.3,14.3,11.1,11.3,6.1,17.3,10.5,17.1,15.2,4.2,15.5,12.1,18.8,15.1,6.3,9.7,9.6,5.1,10.9,12.8,10.6,28.4,21.1,14.1,8.3,23.4,11.7,1.7,10.2,10.8,9.4
increased_by_less_than_10_annually_on_average_over_the_past_three_years,2329.0,28.0,14.0,20.0,16.0,44.0,17.0,249.0,23.0,29.0,31.0,22.0,230.0,16.0,10.0,37.0,139.0,29.0,134.0,283.0,215.0,91.0,281.0,18.0,22.0,15.0,14.0,28.0,211.0,18.0,47.0,37.0,10.0,2.0,18.0,1.0,30.0,11.0,37.0
increased_by_less_than_10_annually_on_average_over_the_past_three_years_percentage,17.7,5.2,2.9,3.6,3.7,7.7,3.5,52.4,4.1,5.1,5.7,4.5,42.2,6.5,2.0,7.6,55.7,6.2,53.7,51.5,47.2,16.4,51.6,3.1,4.8,3.0,2.9,5.2,48.4,7.5,10.1,8.3,10.4,2.6,3.6,0.8,6.4,2.5,7.9
remained_unchanged,6505.0,245.0,330.0,318.0,267.0,291.0,298.0,117.0,340.0,361.0,320.0,297.0,179.0,143.0,319.0,249.0,50.0,320.0,42.0,98.0,61.0,273.0,128.0,394.0,311.0,346.0,310.0,355.0,115.0,107.0,250.0,271.0,59.0,39.0,306.0,75.0,227.0,288.0,330.0
remained_unchanged_percentage,49.6,45.0,69.4,58.5,60.5,50.9,59.9,24.6,60.0,63.7,58.7,60.3,32.8,57.8,63.6,51.1,20.0,68.4,16.8,17.9,13.3,49.4,23.6,66.2,67.8,70.4,65.5,66.1,26.4,43.3,53.2,61.1,62.9,42.3,61.4,71.8,48.4,63.4,69.5
decreased,2617.0,142.0,103.0,137.0,62.0,141.0,140.0,29.0,71.0,95.0,127.0,118.0,100.0,44.0,118.0,118.0,22.0,98.0,33.0,87.0,85.0,105.0,98.0,125.0,73.0,102.0,98.0,86.0,56.0,50.0,67.0,70.0,17.0,29.0,108.0,27.0,161.0,106.0,56.0
decreased_percentage,19.9,26.1,21.7,25.1,14.0,24.7,28.1,6.2,12.6,16.9,23.4,23.9,18.4,17.8,23.6,24.1,9.0,20.9,13.1,15.8,18.7,19.0,18.0,21.1,15.8,20.9,20.7,16.0,12.9,20.2,14.2,15.7,18.4,31.3,21.8,25.7,34.4,23.3,11.9
don_t_know_no_answer,80.0,6.0,2.0,0.0,3.0,3.0,0.0,7.0,0.0,0.0,5.0,0.0,3.0,2.0,2.0,0.0,0.0,1.0,2.0,15.0,9.0,1.0,3.0,0.0,9.0,3.0,0.0,0.0,7.0,1.0,7.0,3.0,0.0,0.0,8.0,0.0,3.0,0.0,6.0
don_t_know_no_answer_percentage,0.6,1.1,0.4,0.0,0.6,0.5,0.0,1.5,0.0,0.0,1.0,0.0,0.6,0.7,0.4,0.0,0.1,0.3,0.9,2.8,1.9,0.1,0.5,0.0,2.0,0.5,0.0,0.0,1.7,0.6,1.5,0.8,0.0,0.4,1.5,0.0,0.6,0.0,1.3
