,EU27,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,IS,NO,CH,ME,MD,MK,AL,RS,TR,US,file_code
base_total,4280.0,199.0,113.0,131.0,196.0,208.0,135.0,122.0,231.0,201.0,217.0,119.0,151.0,48.0,146.0,148.0,109.0,98.0,80.0,240.0,180.0,144.0,138.0,114.0,173.0,181.0,198.0,260.0,150.0,96.0,252.0,208.0,27.0,28.0,160.0,25.0,106.0,79.0,162.0,Q13_(b)
base_weighted_total,4168.0,184.0,104.0,123.0,177.0,194.0,102.0,152.0,221.0,199.0,203.0,110.0,153.0,41.0,129.0,136.0,101.0,74.0,79.0,251.0,192.0,141.0,141.0,109.0,158.0,176.0,167.0,187.0,128.0,78.0,243.0,192.0,26.0,37.0,125.0,23.0,112.0,58.0,166.0,Q13_(b)
its_own_financial_resources,2501.0,120.0,51.0,81.0,76.0,114.0,79.0,92.0,150.0,125.0,103.0,79.0,88.0,26.0,82.0,110.0,53.0,41.0,50.0,163.0,129.0,75.0,79.0,92.0,110.0,147.0,100.0,109.0,65.0,35.0,153.0,121.0,12.0,29.0,88.0,17.0,78.0,44.0,104.0,Q13_(b)
its_own_financial_resources_percentage,60.0,65.4,49.0,65.4,42.7,58.8,77.0,60.4,67.8,62.9,50.7,72.1,57.7,63.1,63.3,80.6,52.6,55.4,62.5,64.9,67.2,53.3,56.2,83.9,69.7,83.6,59.9,58.2,50.5,44.8,63.2,62.8,46.4,80.4,70.1,73.4,69.8,75.4,62.3,Q13_(b)
its_own_technical_expertise,2379.0,102.0,50.0,87.0,89.0,135.0,69.0,43.0,119.0,109.0,84.0,42.0,110.0,15.0,57.0,98.0,45.0,46.0,38.0,132.0,132.0,82.0,58.0,45.0,130.0,130.0,85.0,112.0,65.0,38.0,115.0,111.0,7.0,7.0,42.0,4.0,45.0,25.0,67.0,Q13_(b)
its_own_technical_expertise_percentage,57.1,55.4,48.4,70.3,49.9,69.6,67.0,28.0,53.9,54.8,41.7,38.0,71.8,37.1,44.5,71.7,44.8,61.7,48.3,52.5,68.9,57.9,41.1,40.9,81.7,73.5,51.1,60.2,50.5,48.6,47.5,57.8,27.2,18.3,33.6,15.8,39.9,43.4,40.5,Q13_(b)
external_support,1042.0,70.0,29.0,30.0,58.0,34.0,15.0,50.0,56.0,79.0,47.0,10.0,41.0,11.0,10.0,38.0,17.0,9.0,12.0,66.0,84.0,10.0,16.0,17.0,42.0,36.0,50.0,61.0,46.0,12.0,54.0,63.0,14.0,8.0,21.0,3.0,20.0,4.0,61.0,Q13_(b)
external_support_percentage,25.0,38.1,28.1,24.5,33.0,17.3,14.2,32.6,25.2,39.6,23.3,9.3,26.9,27.3,7.9,27.7,16.9,11.5,15.4,26.3,43.6,7.2,11.3,15.8,26.5,20.1,30.0,32.8,35.8,15.9,22.4,33.1,53.9,21.3,17.1,13.6,18.2,6.9,36.4,Q13_(b)
other_do_not_read_out_,75.0,2.0,11.0,6.0,13.0,6.0,4.0,2.0,0.0,9.0,0.0,2.0,0.0,3.0,1.0,1.0,2.0,4.0,9.0,2.0,1.0,4.0,0.0,1.0,1.0,2.0,2.0,2.0,5.0,7.0,7.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,Q13_(b)
other_do_not_read_out__percentage,1.8,0.9,10.4,4.9,7.1,3.1,4.2,1.2,0.2,4.3,0.0,2.1,0.2,7.8,1.0,1.0,2.0,5.2,11.2,0.9,0.4,2.7,0.1,0.9,0.7,0.9,1.3,1.1,4.2,8.8,2.9,1.9,0.0,0.4,0.7,0.0,2.6,0.0,1.2,Q13_(b)
don_t_know_no_answer,256.0,23.0,7.0,3.0,18.0,21.0,3.0,4.0,4.0,3.0,13.0,11.0,2.0,1.0,11.0,0.0,12.0,7.0,7.0,11.0,10.0,24.0,21.0,5.0,4.0,3.0,6.0,16.0,12.0,12.0,17.0,12.0,0.0,1.0,6.0,0.0,4.0,0.0,13.0,Q13_(b)
don_t_know_no_answer_percentage,6.1,12.7,6.4,2.2,10.4,10.8,3.1,2.9,1.8,1.7,6.5,10.0,1.4,3.5,8.7,0.1,11.5,9.4,9.2,4.2,5.0,16.8,15.3,4.4,2.4,1.5,3.6,8.6,9.6,15.4,7.1,6.3,0.4,1.6,4.6,0.0,3.1,0.0,7.6,Q13_(b)
