,file_code,EU27,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,IS,NO,CH,ME,MD,MK,AL,RS,TR,US
base_total,D1b_(b),12788.0,516.0,458.0,541.0,434.0,562.0,491.0,455.0,550.0,557.0,535.0,484.0,531.0,225.0,500.0,481.0,227.0,464.0,234.0,520.0,443.0,534.0,536.0,576.0,451.0,484.0,468.0,531.0,426.0,245.0,466.0,420.0,93.0,91.0,485.0,104.0,464.0,448.0,464.0
base_weighted_total,D1b_(b),12519.0,478.0,437.0,538.0,418.0,540.0,480.0,444.0,527.0,546.0,517.0,466.0,516.0,213.0,498.0,475.0,209.0,452.0,235.0,528.0,447.0,527.0,530.0,566.0,442.0,479.0,469.0,522.0,427.0,246.0,465.0,408.0,88.0,93.0,487.0,105.0,452.0,447.0,460.0
aerospace_and_defence,D1b_(b),139.0,0.0,1.0,3.0,8.0,11.0,2.0,2.0,0.0,0.0,7.0,2.0,5.0,0.0,10.0,2.0,1.0,0.0,2.0,13.0,9.0,6.0,8.0,13.0,5.0,2.0,19.0,1.0,2.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,4.0,10.0,5.0
aerospace_and_defence_percentage,D1b_(b),1.1,0.0,0.1,0.5,2.0,2.1,0.4,0.3,0.0,0.1,1.4,0.4,0.9,0.0,2.1,0.5,0.4,0.1,1.0,2.4,2.0,1.2,1.4,2.3,1.2,0.4,4.0,0.1,0.4,0.4,1.2,1.4,0.0,0.2,0.0,0.0,0.8,2.3,1.0
agri_food,D1b_(b),258.0,7.0,7.0,13.0,9.0,8.0,7.0,3.0,15.0,18.0,8.0,16.0,4.0,1.0,6.0,9.0,4.0,3.0,3.0,24.0,5.0,17.0,12.0,11.0,12.0,9.0,6.0,11.0,7.0,3.0,5.0,8.0,0.0,2.0,14.0,0.0,27.0,4.0,7.0
agri_food_percentage,D1b_(b),2.1,1.5,1.5,2.5,2.1,1.4,1.6,0.6,2.9,3.4,1.6,3.4,0.7,0.7,1.3,1.9,1.8,0.7,1.2,4.5,1.1,3.3,2.2,2.0,2.8,1.8,1.3,2.0,1.7,1.2,1.2,2.0,0.1,2.7,2.9,0.1,5.9,0.9,1.5
construction,D1b_(b),2615.0,119.0,52.0,122.0,85.0,137.0,118.0,118.0,83.0,93.0,100.0,98.0,84.0,53.0,93.0,99.0,48.0,115.0,42.0,113.0,68.0,155.0,96.0,115.0,97.0,139.0,102.0,109.0,102.0,71.0,96.0,80.0,23.0,12.0,72.0,20.0,62.0,55.0,72.0
construction_percentage,D1b_(b),20.9,24.9,12.0,22.6,20.2,25.4,24.5,26.5,15.8,17.1,19.3,21.0,16.2,24.8,18.8,20.8,22.9,25.5,18.0,21.4,15.2,29.4,18.1,20.4,21.9,29.0,21.7,20.9,23.8,28.8,20.7,19.7,26.0,12.7,14.8,19.0,13.7,12.3,15.6
cultural_and_creative_industries,D1b_(b),870.0,15.0,21.0,36.0,30.0,36.0,32.0,67.0,17.0,35.0,19.0,32.0,52.0,17.0,16.0,32.0,11.0,18.0,19.0,67.0,33.0,35.0,50.0,21.0,19.0,32.0,41.0,36.0,54.0,23.0,12.0,23.0,1.0,3.0,22.0,4.0,18.0,24.0,13.0
cultural_and_creative_industries_percentage,D1b_(b),6.9,3.1,4.8,6.8,7.1,6.8,6.7,15.1,3.3,6.4,3.6,6.8,10.1,7.9,3.3,6.6,5.5,4.1,8.0,12.6,7.4,6.7,9.5,3.7,4.3,6.7,8.7,6.9,12.5,9.3,2.5,5.5,1.7,2.9,4.5,3.5,3.9,5.3,2.9
