,file_code,EU27,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,IS,NO,CH,ME,MD,MK,AL,RS,TR,US
digital,D1b_(b),789.0,17.0,19.0,30.0,47.0,45.0,44.0,19.0,59.0,45.0,15.0,38.0,14.0,15.0,53.0,44.0,7.0,27.0,5.0,44.0,15.0,42.0,12.0,45.0,31.0,49.0,47.0,78.0,18.0,29.0,31.0,39.0,0.0,5.0,20.0,10.0,26.0,34.0,10.0
digital_percentage,D1b_(b),6.3,3.5,4.4,5.6,11.3,8.3,9.1,4.3,11.3,8.2,2.9,8.2,2.8,7.0,10.6,9.2,3.5,6.1,2.3,8.3,3.4,7.9,2.3,8.0,7.0,10.2,10.0,14.9,4.2,11.8,6.6,9.6,0.2,5.5,4.1,9.7,5.8,7.6,2.1
electronics,D1b_(b),134.0,1.0,3.0,9.0,8.0,7.0,2.0,4.0,4.0,6.0,6.0,7.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,5.0,6.0,1.0,6.0,15.0,13.0,23.0,20.0,1.0,1.0,7.0,9.0,0.0,0.0,6.0,0.0,8.0,9.0,2.0
electronics_percentage,D1b_(b),1.1,0.3,0.6,1.7,2.0,1.4,0.3,0.8,0.8,1.2,1.1,1.4,0.3,1.0,0.2,0.1,0.3,0.5,0.3,0.2,1.2,1.2,0.2,1.0,3.5,2.6,5.0,3.8,0.3,0.4,1.5,2.2,0.0,0.0,1.2,0.0,1.8,1.9,0.4
energy_renewables,D1b_(b),252.0,7.0,16.0,16.0,6.0,25.0,6.0,0.0,25.0,16.0,7.0,17.0,4.0,3.0,15.0,7.0,1.0,12.0,3.0,3.0,7.0,4.0,3.0,3.0,8.0,12.0,8.0,28.0,5.0,3.0,13.0,19.0,3.0,2.0,14.0,0.0,13.0,8.0,6.0
energy_renewables_percentage,D1b_(b),2.0,1.4,3.7,3.0,1.5,4.6,1.1,0.0,4.7,2.9,1.4,3.7,0.7,1.2,3.0,1.4,0.5,2.8,1.1,0.5,1.6,0.9,0.6,0.4,1.7,2.5,1.8,5.5,1.1,1.0,2.8,4.7,3.3,2.3,2.9,0.1,2.9,1.8,1.3
energy_intensive_industries,D1b_(b),145.0,3.0,7.0,4.0,1.0,13.0,12.0,3.0,8.0,5.0,3.0,7.0,6.0,1.0,9.0,3.0,0.0,3.0,1.0,11.0,1.0,0.0,2.0,14.0,7.0,14.0,10.0,9.0,0.0,3.0,3.0,8.0,0.0,0.0,6.0,0.0,1.0,10.0,9.0
energy_intensive_industries_percentage,D1b_(b),1.2,0.6,1.5,0.7,0.3,2.4,2.5,0.6,1.5,0.9,0.7,1.6,1.1,0.3,1.9,0.6,0.0,0.6,0.5,2.0,0.2,0.0,0.4,2.4,1.5,3.0,2.1,1.7,0.0,1.1,0.6,1.9,0.0,0.0,1.3,0.2,0.3,2.3,1.9
health,D1b_(b),70.0,5.0,2.0,0.0,0.0,8.0,1.0,0.0,3.0,0.0,1.0,5.0,1.0,4.0,4.0,0.0,4.0,8.0,0.0,1.0,0.0,4.0,0.0,9.0,4.0,7.0,0.0,5.0,10.0,0.0,6.0,6.0,1.0,0.0,10.0,3.0,4.0,0.0,4.0
health_percentage,D1b_(b),0.6,1.0,0.5,0.0,0.0,1.6,0.2,0.0,0.5,0.0,0.3,1.0,0.2,2.1,0.9,0.1,1.7,1.8,0.1,0.3,0.0,0.7,0.0,1.6,1.0,1.4,0.1,1.0,2.4,0.0,1.3,1.5,0.6,0.0,2.1,3.0,0.9,0.0,0.9
mobility_transport_automotive,D1b_(b),1358.0,55.0,57.0,68.0,43.0,57.0,89.0,51.0,42.0,77.0,42.0,51.0,54.0,6.0,96.0,102.0,22.0,59.0,41.0,32.0,72.0,55.0,60.0,68.0,60.0,52.0,63.0,47.0,45.0,16.0,34.0,46.0,11.0,22.0,77.0,24.0,75.0,53.0,26.0
mobility_transport_automotive_percentage,D1b_(b),10.8,11.4,13.1,12.6,10.3,10.5,18.6,11.5,8.0,14.2,8.2,10.8,10.5,3.0,19.3,21.5,10.4,13.1,17.4,6.0,16.2,10.5,11.3,11.9,13.5,10.8,13.4,9.0,10.5,6.3,7.2,11.2,12.5,23.2,15.7,23.2,16.6,11.9,5.5
proximity_local_and_short_value_chains_social_economy_and_civil_security,D1b_(b),1314.0,61.0,50.0,56.0,56.0,28.0,45.0,25.0,44.0,90.0,82.0,57.0,57.0,16.0,26.0,36.0,34.0,42.0,18.0,26.0,42.0,36.0,62.0,31.0,83.0,34.0,34.0,68.0,32.0,28.0,93.0,53.0,6.0,2.0,8.0,3.0,27.0,33.0,90.0
proximity_local_and_short_value_chains_social_economy_and_civil_security_percentage,D1b_(b),10.5,12.8,11.3,10.4,13.4,5.1,9.4,5.7,8.4,16.5,15.9,12.3,11.0,7.4,5.3,7.6,16.5,9.3,7.5,4.8,9.5,6.8,11.8,5.4,18.9,7.1,7.2,13.1,7.5,11.4,19.9,12.9,6.9,2.3,1.7,3.3,5.9,7.3,19.5
retail,D1b_(b),2708.0,106.0,154.0,97.0,63.0,132.0,88.0,91.0,145.0,96.0,101.0,81.0,110.0,71.0,105.0,89.0,41.0,93.0,33.0,129.0,82.0,120.0,146.0,202.0,64.0,87.0,76.0,69.0,81.0,30.0,67.0,75.0,26.0,42.0,151.0,40.0,131.0,165.0,91.0
retail_percentage,D1b_(b),21.6,22.1,35.1,18.0,15.1,24.5,18.2,20.6,27.6,17.6,19.6,17.3,21.2,33.6,21.2,18.8,19.7,20.5,14.1,24.4,18.5,22.7,27.5,35.7,14.6,18.3,16.3,13.1,19.1,12.1,14.4,18.4,30.0,45.1,31.0,37.8,28.9,36.9,19.9
textile,D1b_(b),123.0,1.0,11.0,12.0,0.0,1.0,7.0,5.0,1.0,7.0,2.0,5.0,5.0,0.0,3.0,8.0,1.0,3.0,1.0,2.0,3.0,11.0,9.0,3.0,4.0,15.0,5.0,4.0,13.0,0.0,2.0,3.0,1.0,0.0,6.0,0.0,12.0,9.0,2.0
textile_percentage,D1b_(b),1.0,0.3,2.4,2.2,0.0,0.3,1.4,1.0,0.3,1.2,0.4,1.1,1.0,0.1,0.6,1.6,0.3,0.6,0.2,0.4,0.6,2.1,1.7,0.6,0.9,3.1,1.1,0.7,3.1,0.0,0.5,0.7,0.9,0.3,1.3,0.1,2.7,2.0,0.4
tourism,D1b_(b),1173.0,60.0,22.0,45.0,17.0,6.0,14.0,18.0,64.0,46.0,99.0,9.0,78.0,13.0,22.0,35.0,30.0,28.0,38.0,49.0,89.0,15.0,56.0,17.0,1.0,7.0,11.0,20.0,52.0,34.0,87.0,15.0,6.0,3.0,15.0,0.0,32.0,11.0,98.0
tourism_percentage,D1b_(b),9.4,12.5,5.0,8.3,4.0,1.1,2.9,4.1,12.2,8.5,19.2,2.0,15.1,6.0,4.5,7.4,14.2,6.3,16.4,9.3,19.9,2.9,10.5,2.9,0.1,1.5,2.4,3.9,12.2,13.8,18.7,3.7,7.2,2.7,3.1,0.0,7.1,2.4,21.3
not_applicable_do_not_read_out_,D1b_(b),504.0,22.0,16.0,27.0,27.0,21.0,14.0,32.0,13.0,10.0,23.0,38.0,39.0,10.0,36.0,9.0,4.0,33.0,21.0,5.0,11.0,18.0,12.0,8.0,28.0,6.0,5.0,18.0,5.0,6.0,0.0,14.0,9.0,0.0,62.0,0.0,12.0,20.0,18.0
not_applicable_do_not_read_out__percentage,D1b_(b),4.0,4.5,3.7,5.0,6.5,3.9,2.9,7.3,2.5,1.9,4.4,8.2,7.5,4.9,7.2,1.8,2.1,7.2,9.0,1.0,2.4,3.4,2.3,1.5,6.3,1.3,1.0,3.4,1.2,2.3,0.1,3.5,10.6,0.0,12.8,0.0,2.7,4.4,3.9
don_t_know_no_answer,D1b_(b),66.0,0.0,0.0,0.0,17.0,4.0,0.0,6.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,4.0,6.0,10.0,4.0,2.0,1.0,0.0,4.0,2.0,19.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,3.0,9.0
don_t_know_no_answer_percentage,D1b_(b),0.5,0.0,0.0,0.0,4.1,0.7,0.0,1.4,0.0,0.0,0.0,0.9,0.6,0.0,0.1,0.1,0.3,0.9,2.6,1.9,0.9,0.5,0.2,0.0,0.9,0.3,4.0,0.0,0.1,0.0,0.8,0.9,0.1,0.0,0.5,0.0,0.0,0.8,1.9
