,file_code,EU27,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,IS,NO,CH,ME,MD,MK,AL,RS,TR,US
base_total,N1a_(b),13124.0,543.0,475.0,544.0,442.0,571.0,497.0,476.0,566.0,566.0,544.0,493.0,545.0,248.0,502.0,488.0,250.0,468.0,249.0,550.0,455.0,553.0,544.0,595.0,459.0,491.0,473.0,537.0,435.0,246.0,470.0,444.0,94.0,93.0,498.0,105.0,469.0,454.0,475.0
base_weighted_total,N1a_(b),13124.0,543.0,475.0,544.0,442.0,571.0,497.0,476.0,566.0,566.0,544.0,493.0,545.0,248.0,502.0,488.0,250.0,468.0,249.0,550.0,455.0,553.0,544.0,595.0,459.0,491.0,473.0,537.0,435.0,246.0,470.0,444.0,94.0,93.0,498.0,105.0,469.0,454.0,475.0
yes_you_purchase_energy_from_a_renewable_energy_supplier,N1a_(b),3023.0,86.0,41.0,64.0,140.0,124.0,72.0,214.0,73.0,98.0,119.0,24.0,173.0,9.0,52.0,67.0,111.0,23.0,62.0,213.0,185.0,80.0,237.0,70.0,96.0,58.0,176.0,234.0,144.0,155.0,153.0,100.0,10.0,20.0,102.0,0.0,35.0,23.0,46.0
yes_you_purchase_energy_from_a_renewable_energy_supplier_percentage,N1a_(b),23.0,15.9,8.6,11.7,31.6,21.8,14.5,44.9,12.9,17.4,21.9,4.9,31.7,3.8,10.4,13.8,44.4,4.9,24.8,38.8,40.6,14.5,43.5,11.8,21.0,11.9,37.1,43.5,33.0,63.2,32.7,22.6,10.1,21.4,20.4,0.4,7.5,5.0,9.8
yes_you_generate_renewable_energy_onsite_e_g_solar_panels_wind_power_,N1a_(b),1550.0,187.0,34.0,71.0,59.0,131.0,53.0,41.0,72.0,80.0,31.0,55.0,19.0,27.0,44.0,51.0,26.0,109.0,9.0,52.0,76.0,74.0,46.0,59.0,75.0,45.0,47.0,63.0,71.0,4.0,40.0,110.0,7.0,9.0,39.0,5.0,22.0,14.0,44.0
yes_you_generate_renewable_energy_onsite_e_g_solar_panels_wind_power__percentage,N1a_(b),11.8,34.4,7.2,13.0,13.5,22.9,10.6,8.5,12.7,14.1,5.7,11.1,3.5,11.1,8.8,10.5,10.6,23.4,3.6,9.5,16.7,13.5,8.5,9.9,16.4,9.1,9.9,11.8,16.2,1.5,8.4,24.8,7.6,9.4,7.8,4.5,4.6,3.0,9.4
no,N1a_(b),8239.0,255.0,393.0,406.0,212.0,302.0,362.0,221.0,421.0,363.0,381.0,407.0,345.0,211.0,396.0,356.0,104.0,331.0,172.0,278.0,192.0,378.0,250.0,461.0,277.0,373.0,220.0,214.0,218.0,75.0,245.0,202.0,77.0,64.0,352.0,99.0,406.0,417.0,367.0
no_percentage,N1a_(b),62.8,47.0,82.8,74.6,47.9,52.8,72.9,46.5,74.4,64.1,70.0,82.5,63.3,85.1,78.9,72.9,41.6,70.7,68.9,50.6,42.1,68.3,45.9,77.5,60.4,76.0,46.5,39.9,50.2,30.4,52.1,45.5,82.3,69.1,70.8,94.3,86.5,91.9,77.3
don_t_know_no_answer,N1a_(b),313.0,14.0,7.0,4.0,31.0,14.0,10.0,1.0,0.0,25.0,14.0,7.0,8.0,0.0,9.0,14.0,9.0,5.0,7.0,6.0,3.0,21.0,12.0,5.0,10.0,15.0,30.0,26.0,3.0,12.0,32.0,31.0,0.0,0.0,5.0,1.0,7.0,0.0,17.0
don_t_know_no_answer_percentage,N1a_(b),2.4,2.6,1.5,0.7,7.0,2.5,2.0,0.1,0.1,4.4,2.5,1.5,1.5,0.0,1.8,2.9,3.5,1.1,2.7,1.1,0.6,3.7,2.1,0.9,2.2,3.0,6.4,4.8,0.6,4.9,6.8,7.1,0.0,0.0,1.0,0.8,1.4,0.0,3.6
total_yes_,N1a_(b),4573.0,273.0,75.0,135.0,199.0,255.0,125.0,254.0,145.0,178.0,150.0,79.0,192.0,37.0,96.0,119.0,137.0,132.0,71.0,266.0,261.0,155.0,283.0,129.0,172.0,103.0,223.0,297.0,214.0,159.0,193.0,210.0,17.0,29.0,141.0,5.0,57.0,36.0,91.0
total_yes__percentage,N1a_(b),34.8,50.3,15.7,24.7,45.1,44.6,25.1,53.4,25.6,31.5,27.5,16.0,35.2,14.9,19.2,24.3,55.0,28.2,28.4,48.3,57.3,28.0,52.0,21.6,37.4,21.0,47.1,55.3,49.2,64.7,41.1,47.4,17.7,30.9,28.2,4.9,12.1,8.0,19.1
