,file_code,EU27,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,IS,NO,CH,ME,MD,MK,AL,RS,TR,US
base_total,Q15_(b),3083.0,183.0,89.0,91.0,151.0,171.0,91.0,107.0,122.0,160.0,189.0,69.0,116.0,14.0,79.0,83.0,63.0,80.0,53.0,142.0,93.0,68.0,143.0,94.0,96.0,69.0,178.0,289.0,80.0,76.0,166.0,161.0,8.0,13.0,88.0,18.0,70.0,65.0,101.0
base_weighted_total,Q15_(b),2767.0,130.0,58.0,77.0,103.0,122.0,68.0,114.0,59.0,127.0,151.0,39.0,113.0,14.0,55.0,79.0,66.0,67.0,56.0,168.0,93.0,61.0,140.0,88.0,74.0,56.0,143.0,219.0,91.0,49.0,119.0,140.0,7.0,22.0,67.0,13.0,59.0,35.0,108.0
generally_reducing_carbon_emissions_of_your_company,Q15_(b),1466.0,100.0,33.0,50.0,55.0,84.0,39.0,61.0,41.0,107.0,83.0,19.0,12.0,12.0,29.0,59.0,20.0,30.0,17.0,67.0,24.0,35.0,57.0,63.0,32.0,36.0,75.0,159.0,58.0,29.0,78.0,98.0,2.0,11.0,26.0,3.0,18.0,24.0,86.0
generally_reducing_carbon_emissions_of_your_company_percentage,Q15_(b),53.0,77.2,55.8,65.4,53.4,68.8,56.5,53.5,69.7,84.4,55.0,49.3,10.4,81.2,51.7,74.7,29.6,44.8,31.2,39.9,25.7,57.0,40.6,71.9,43.5,63.2,52.2,72.9,63.8,59.8,65.3,69.7,20.3,49.9,39.0,24.4,30.5,67.8,79.4
adopting_purchasing_new_technological_solutions_to_reduce_emissions,Q15_(b),1312.0,88.0,32.0,51.0,46.0,57.0,34.0,66.0,32.0,80.0,56.0,19.0,42.0,9.0,23.0,37.0,37.0,21.0,27.0,80.0,33.0,36.0,58.0,44.0,19.0,33.0,82.0,117.0,42.0,14.0,73.0,79.0,2.0,10.0,26.0,6.0,22.0,23.0,62.0
adopting_purchasing_new_technological_solutions_to_reduce_emissions_percentage,Q15_(b),47.4,68.2,55.3,66.3,45.1,46.6,49.7,58.0,53.8,62.9,36.9,48.9,36.8,64.6,40.9,46.4,55.3,31.1,47.7,47.5,35.4,58.9,41.4,49.8,25.6,58.1,57.2,53.3,46.1,28.8,61.6,56.7,26.5,45.4,38.8,44.0,36.5,63.9,57.2
developing_new_technological_solutions_to_reduce_emissions,Q15_(b),980.0,63.0,9.0,44.0,29.0,37.0,21.0,36.0,27.0,64.0,52.0,15.0,29.0,5.0,21.0,16.0,27.0,34.0,8.0,65.0,12.0,22.0,26.0,42.0,17.0,23.0,49.0,72.0,27.0,12.0,43.0,57.0,1.0,7.0,24.0,1.0,24.0,22.0,36.0
developing_new_technological_solutions_to_reduce_emissions_percentage,Q15_(b),35.4,49.0,16.1,58.0,28.0,30.3,30.5,31.7,45.4,50.3,34.4,39.7,25.3,33.2,38.6,20.5,40.6,50.9,14.2,38.7,13.3,35.4,18.4,47.9,23.3,40.3,34.4,33.1,30.0,25.2,35.7,40.7,18.8,30.7,34.9,3.7,41.3,62.7,33.1
offsetting_carbon_emissions_by_purchasing_carbon_credits_or_funding_an_equivalent_carbon_saving_elsewhere,Q15_(b),264.0,17.0,3.0,12.0,16.0,22.0,8.0,37.0,3.0,7.0,4.0,3.0,10.0,2.0,11.0,9.0,15.0,9.0,4.0,11.0,17.0,10.0,5.0,4.0,6.0,6.0,26.0,34.0,34.0,15.0,18.0,24.0,0.0,6.0,6.0,0.0,13.0,10.0,20.0
offsetting_carbon_emissions_by_purchasing_carbon_credits_or_funding_an_equivalent_carbon_saving_elsewhere_percentage,Q15_(b),9.5,13.2,5.0,16.2,15.3,17.7,12.4,32.6,4.2,5.6,2.8,6.4,8.5,13.2,19.9,10.8,22.0,14.0,8.0,6.6,18.2,15.9,3.6,4.1,8.3,11.1,18.0,15.6,37.3,30.5,15.5,17.2,0.0,26.4,8.4,0.0,22.8,27.9,18.6
other_do_not_read_out_,Q15_(b),123.0,0.0,0.0,0.0,7.0,6.0,1.0,4.0,2.0,4.0,1.0,1.0,15.0,0.0,5.0,1.0,1.0,10.0,0.0,0.0,0.0,3.0,11.0,1.0,12.0,7.0,1.0,8.0,0.0,1.0,9.0,6.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0
other_do_not_read_out__percentage,Q15_(b),4.4,0.3,0.6,0.0,6.9,4.9,1.4,3.1,3.1,3.0,0.8,1.4,13.1,0.0,8.4,1.5,1.1,14.2,0.2,0.0,0.4,4.6,7.7,1.2,16.4,12.5,1.0,3.7,0.3,2.0,7.2,3.9,0.0,13.2,7.6,0.0,0.0,0.0,0.0
none_do_not_read_out_,Q15_(b),230.0,13.0,10.0,4.0,7.0,11.0,8.0,0.0,7.0,0.0,15.0,4.0,12.0,0.0,3.0,5.0,5.0,1.0,0.0,19.0,20.0,5.0,10.0,7.0,13.0,2.0,23.0,13.0,0.0,0.0,8.0,6.0,3.0,6.0,14.0,4.0,4.0,4.0,9.0
none_do_not_read_out__percentage,Q15_(b),8.3,9.8,17.5,5.3,6.8,8.8,11.4,0.1,11.6,0.2,10.3,10.0,10.2,1.0,5.5,6.6,7.7,1.5,0.0,11.6,21.8,7.5,7.3,8.2,17.4,3.2,16.1,5.8,0.1,0.0,6.4,3.9,34.4,26.2,20.5,33.3,6.1,10.0,8.8
don_t_know_no_answer,Q15_(b),93.0,3.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,8.0,0.0,0.0,1.0,1.0,0.0,5.0,2.0,4.0,5.0,14.0,2.0,2.0,0.0,0.0,0.0,1.0,9.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
don_t_know_no_answer_percentage,Q15_(b),3.4,2.0,0.1,0.0,4.1,3.8,0.2,0.3,0.0,0.2,3.9,0.0,7.3,0.0,0.0,1.5,1.1,0.3,8.2,1.3,4.1,7.3,10.1,2.4,2.3,0.2,0.0,0.1,0.6,18.2,0.0,2.1,0.0,0.0,5.1,0.0,0.6,0.1,0.0
