,EU27,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,IS,NO,CH,ME,MD,MK,AL,RS,TR,US
base_total,13124.0,543.0,475.0,544.0,442.0,571.0,497.0,476.0,566.0,566.0,544.0,493.0,545.0,248.0,502.0,488.0,250.0,468.0,249.0,550.0,455.0,553.0,544.0,595.0,459.0,491.0,473.0,537.0,435.0,246.0,470.0,444.0,94.0,93.0,498.0,105.0,469.0,454.0,475.0
base_weighted_total,13124.0,543.0,475.0,544.0,442.0,571.0,497.0,476.0,566.0,566.0,544.0,493.0,545.0,248.0,502.0,488.0,250.0,468.0,249.0,550.0,455.0,553.0,544.0,595.0,459.0,491.0,473.0,537.0,435.0,246.0,470.0,444.0,94.0,93.0,498.0,105.0,469.0,454.0,475.0
yes,4168.0,184.0,104.0,123.0,177.0,194.0,102.0,152.0,221.0,199.0,203.0,110.0,153.0,41.0,129.0,136.0,101.0,74.0,79.0,251.0,192.0,141.0,141.0,109.0,158.0,176.0,167.0,187.0,128.0,78.0,243.0,192.0,26.0,37.0,125.0,23.0,112.0,58.0,166.0
yes_percentage,31.8,33.8,22.0,22.7,40.1,34.1,20.6,32.0,39.1,35.2,37.3,22.4,28.1,16.6,25.7,28.0,40.3,15.9,31.9,45.7,42.1,25.5,25.9,18.3,34.5,35.9,35.2,34.8,29.5,31.7,51.6,43.2,27.4,39.3,25.2,22.3,24.0,12.9,35.0
no_but_you_are_planning_to_do_so_in_the_next_2_years,1570.0,54.0,75.0,61.0,24.0,34.0,41.0,132.0,111.0,66.0,80.0,44.0,86.0,28.0,20.0,42.0,25.0,31.0,25.0,18.0,21.0,62.0,101.0,129.0,36.0,62.0,22.0,42.0,64.0,16.0,46.0,24.0,8.0,13.0,59.0,3.0,86.0,50.0,41.0
no_but_you_are_planning_to_do_so_in_the_next_2_years_percentage,12.0,9.9,15.8,11.3,5.5,5.9,8.2,27.7,19.7,11.6,14.8,9.0,15.8,11.2,3.9,8.6,10.1,6.6,10.2,3.2,4.7,11.2,18.6,21.7,7.9,12.7,4.7,7.9,14.7,6.7,9.9,5.4,8.1,13.9,11.9,2.6,18.4,11.0,8.7
no_and_you_are_not_planning_to_do_so,6827.0,285.0,278.0,349.0,218.0,328.0,349.0,160.0,233.0,281.0,232.0,301.0,291.0,177.0,325.0,295.0,120.0,347.0,138.0,253.0,228.0,318.0,202.0,331.0,262.0,235.0,263.0,286.0,208.0,113.0,161.0,200.0,61.0,40.0,275.0,79.0,264.0,327.0,247.0
no_and_you_are_not_planning_to_do_so_percentage,52.0,52.5,58.4,64.2,49.4,57.4,70.3,33.5,41.2,49.7,42.6,61.1,53.4,71.5,64.8,60.5,48.0,74.2,55.6,46.1,50.2,57.5,37.1,55.6,57.1,47.8,55.6,53.3,47.8,45.9,34.3,45.0,64.4,43.2,55.3,75.0,56.2,72.1,52.1
don_t_know_no_answer,558.0,21.0,18.0,10.0,22.0,15.0,5.0,32.0,0.0,20.0,29.0,37.0,14.0,2.0,28.0,14.0,4.0,15.0,6.0,28.0,14.0,32.0,100.0,26.0,2.0,17.0,22.0,22.0,35.0,39.0,20.0,28.0,0.0,3.0,38.0,0.0,7.0,19.0,20.0
don_t_know_no_answer_percentage,4.3,3.8,3.8,1.9,5.0,2.6,0.9,6.7,0.0,3.5,5.3,7.5,2.6,0.7,5.6,2.9,1.6,3.3,2.3,5.1,3.0,5.8,18.4,4.3,0.5,3.5,4.6,4.0,8.0,15.8,4.2,6.4,0.2,3.5,7.7,0.1,1.4,4.1,4.2
total_no_,8397.0,339.0,352.0,411.0,243.0,362.0,390.0,292.0,345.0,347.0,312.0,346.0,377.0,205.0,345.0,337.0,145.0,378.0,164.0,271.0,250.0,380.0,303.0,460.0,298.0,297.0,285.0,329.0,272.0,129.0,208.0,224.0,68.0,53.0,334.0,81.0,350.0,377.0,289.0
total_no__percentage,64.0,62.4,74.2,75.5,54.9,63.3,78.4,61.3,60.9,61.3,57.4,70.2,69.3,82.7,68.7,69.2,58.1,80.8,65.8,49.3,54.9,68.7,55.7,77.3,64.9,60.5,60.2,61.2,62.5,52.5,44.2,50.4,72.5,57.1,67.2,77.6,74.6,83.0,60.8
