,EU27,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,IS,NO,CH,ME,MD,MK,AL,RS,TR,US,file_code
base_total,13124.0,543.0,475.0,544.0,442.0,571.0,497.0,476.0,566.0,566.0,544.0,493.0,545.0,248.0,502.0,488.0,250.0,468.0,249.0,550.0,455.0,553.0,544.0,595.0,459.0,491.0,473.0,537.0,435.0,246.0,470.0,444.0,94.0,93.0,498.0,105.0,469.0,454.0,475.0,SCR13a_(b)
base_weighted_total,13124.0,543.0,475.0,544.0,442.0,571.0,497.0,476.0,566.0,566.0,544.0,493.0,545.0,248.0,502.0,488.0,250.0,468.0,249.0,550.0,455.0,553.0,544.0,595.0,459.0,491.0,473.0,537.0,435.0,246.0,470.0,444.0,94.0,93.0,498.0,105.0,469.0,454.0,475.0,SCR13a_(b)
increased_10_or_more_annually_on_average_over_the_past_three_years,2792.0,179.0,138.0,130.0,170.0,143.0,117.0,69.0,234.0,141.0,118.0,176.0,33.0,89.0,136.0,164.0,30.0,114.0,37.0,83.0,59.0,129.0,74.0,234.0,149.0,121.0,91.0,60.0,36.0,84.0,169.0,97.0,40.0,25.0,141.0,9.0,128.0,174.0,96.0,SCR13a_(b)
increased_10_or_more_annually_on_average_over_the_past_three_years_percentage,21.3,32.9,29.0,24.0,38.4,25.0,23.6,14.4,41.3,24.8,21.8,35.6,6.1,36.1,27.0,33.7,11.9,24.4,14.8,15.1,13.0,23.3,13.6,39.3,32.4,24.6,19.2,11.1,8.2,34.2,35.9,21.9,42.2,26.6,28.3,8.1,27.4,38.4,20.2,SCR13a_(b)
increased_by_less_than_10_annually_on_average_over_the_past_three_years,1905.0,97.0,56.0,53.0,75.0,70.0,52.0,100.0,81.0,96.0,69.0,56.0,84.0,17.0,31.0,60.0,29.0,49.0,36.0,135.0,102.0,63.0,146.0,83.0,61.0,42.0,59.0,18.0,90.0,69.0,70.0,62.0,8.0,6.0,44.0,8.0,65.0,32.0,51.0,SCR13a_(b)
increased_by_less_than_10_annually_on_average_over_the_past_three_years_percentage,14.5,17.9,11.9,9.7,17.0,12.2,10.4,21.0,14.3,16.9,12.6,11.4,15.4,6.9,6.1,12.3,11.7,10.4,14.3,24.5,22.5,11.3,26.9,14.0,13.4,8.5,12.4,3.3,20.8,28.1,14.9,14.0,8.5,6.6,8.8,7.9,13.9,7.0,10.8,SCR13a_(b)
remained_unchanged,4626.0,149.0,121.0,208.0,110.0,200.0,169.0,149.0,148.0,175.0,195.0,178.0,221.0,78.0,176.0,141.0,107.0,144.0,105.0,200.0,166.0,164.0,174.0,162.0,171.0,217.0,182.0,382.0,126.0,54.0,137.0,170.0,18.0,26.0,170.0,27.0,139.0,114.0,185.0,SCR13a_(b)
remained_unchanged_percentage,35.2,27.4,25.4,38.2,25.0,35.0,34.0,31.4,26.2,30.9,35.9,36.0,40.6,31.6,35.1,29.0,42.8,30.8,42.1,36.4,36.6,29.6,32.1,27.3,37.3,44.3,38.5,71.1,29.0,22.1,29.2,38.2,19.2,28.0,34.2,25.8,29.6,25.2,38.8,SCR13a_(b)
decreased,3136.0,106.0,123.0,147.0,57.0,114.0,154.0,104.0,86.0,131.0,128.0,71.0,151.0,56.0,129.0,105.0,53.0,139.0,55.0,121.0,124.0,186.0,124.0,112.0,77.0,93.0,126.0,70.0,169.0,25.0,79.0,79.0,28.0,33.0,99.0,52.0,125.0,101.0,93.0,SCR13a_(b)
decreased_percentage,23.9,19.5,25.8,27.1,12.9,20.0,31.0,21.9,15.2,23.1,23.5,14.3,27.8,22.7,25.7,21.5,21.3,29.7,22.2,21.9,27.2,33.6,22.9,18.8,16.8,18.9,26.6,13.0,38.8,10.3,16.8,17.8,29.6,35.3,19.8,49.9,26.6,22.2,19.5,SCR13a_(b)
don_t_know_no_answer,665.0,13.0,37.0,6.0,29.0,44.0,5.0,54.0,17.0,24.0,34.0,13.0,55.0,7.0,30.0,17.0,31.0,22.0,16.0,12.0,3.0,12.0,25.0,3.0,1.0,19.0,16.0,8.0,14.0,13.0,15.0,36.0,1.0,3.0,44.0,9.0,12.0,32.0,51.0,SCR13a_(b)
don_t_know_no_answer_percentage,5.1,2.3,7.9,1.0,6.7,7.7,1.0,11.3,3.1,4.2,6.2,2.5,10.1,2.8,6.0,3.6,12.3,4.6,6.6,2.1,0.7,2.2,4.6,0.6,0.2,3.8,3.3,1.4,3.2,5.3,3.2,8.1,0.5,3.5,8.9,8.3,2.5,7.1,10.7,SCR13a_(b)
