,EU27,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,IS,NO,CH,ME,MD,MK,AL,RS,TR,US,file_code
base_total,13124.0,543.0,475.0,544.0,442.0,571.0,497.0,476.0,566.0,566.0,544.0,493.0,545.0,248.0,502.0,488.0,250.0,468.0,249.0,550.0,455.0,553.0,544.0,595.0,459.0,491.0,473.0,537.0,435.0,246.0,470.0,444.0,94.0,93.0,498.0,105.0,469.0,454.0,475.0,SCR11b_(b)
base_weighted_total,13124.0,543.0,475.0,544.0,442.0,571.0,497.0,476.0,566.0,566.0,544.0,493.0,545.0,248.0,502.0,488.0,250.0,468.0,249.0,550.0,455.0,553.0,544.0,595.0,459.0,491.0,473.0,537.0,435.0,246.0,470.0,444.0,94.0,93.0,498.0,105.0,469.0,454.0,475.0,SCR11b_(b)
very_difficult,4829.0,242.0,206.0,152.0,60.0,219.0,105.0,136.0,222.0,257.0,263.0,191.0,204.0,103.0,155.0,134.0,130.0,125.0,93.0,195.0,167.0,178.0,224.0,161.0,122.0,100.0,60.0,84.0,65.0,59.0,94.0,97.0,50.0,37.0,193.0,39.0,203.0,95.0,115.0,SCR11b_(b)
very_difficult_percentage,36.8,44.5,43.4,27.9,13.5,38.3,21.1,28.6,39.2,45.3,48.4,38.8,37.5,41.4,30.8,27.5,52.0,26.6,37.2,35.4,36.6,32.2,41.2,27.0,26.5,20.3,12.8,15.7,14.9,24.0,20.0,21.9,53.5,39.5,38.8,37.5,43.3,21.0,24.3,SCR11b_(b)
slightly_difficult,2502.0,135.0,47.0,94.0,79.0,92.0,36.0,116.0,102.0,58.0,72.0,39.0,146.0,34.0,63.0,93.0,50.0,62.0,72.0,238.0,156.0,103.0,120.0,83.0,31.0,69.0,78.0,53.0,109.0,58.0,153.0,124.0,6.0,21.0,36.0,12.0,61.0,82.0,107.0,SCR11b_(b)
slightly_difficult_percentage,19.1,24.8,9.8,17.4,17.8,16.2,7.2,24.3,18.0,10.3,13.2,7.9,26.8,13.7,12.6,19.1,20.1,13.3,28.9,43.3,34.3,18.7,22.1,13.9,6.7,14.1,16.6,9.9,25.0,23.7,32.5,28.0,6.6,23.0,7.3,11.5,13.0,18.0,22.5,SCR11b_(b)
not_difficult_at_all,1391.0,40.0,14.0,35.0,145.0,65.0,73.0,120.0,38.0,69.0,34.0,62.0,73.0,18.0,57.0,85.0,50.0,41.0,53.0,47.0,82.0,47.0,118.0,16.0,26.0,40.0,79.0,60.0,162.0,76.0,116.0,56.0,14.0,15.0,42.0,4.0,52.0,143.0,104.0,SCR11b_(b)
not_difficult_at_all_percentage,10.6,7.4,3.1,6.5,32.7,11.5,14.8,25.1,6.8,12.3,6.3,12.6,13.5,7.4,11.3,17.5,20.0,8.8,21.4,8.5,18.1,8.5,21.6,2.7,5.7,8.2,16.7,11.2,37.3,31.1,24.8,12.5,14.9,16.2,8.4,4.1,11.1,31.5,21.9,SCR11b_(b)
not_relevant_we_did_not_need_to_hire_anyone_in_the_past_24_months_,4262.0,121.0,205.0,262.0,150.0,181.0,282.0,105.0,203.0,182.0,175.0,198.0,105.0,93.0,221.0,176.0,15.0,239.0,24.0,65.0,50.0,218.0,72.0,334.0,275.0,281.0,255.0,334.0,76.0,48.0,106.0,160.0,24.0,19.0,219.0,49.0,153.0,130.0,145.0,SCR11b_(b)
not_relevant_we_did_not_need_to_hire_anyone_in_the_past_24_months__percentage,32.5,22.2,43.1,48.2,34.0,31.7,56.8,22.0,35.9,32.1,32.2,40.1,19.2,37.6,44.1,36.0,5.8,51.0,9.6,11.8,11.0,39.5,13.3,56.1,59.8,57.3,53.9,62.3,17.4,19.7,22.6,36.0,25.1,20.9,44.0,46.8,32.6,28.7,30.5,SCR11b_(b)
don_t_know_no_answer,139.0,6.0,3.0,0.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,0.0,6.0,0.0,5.0,1.0,7.0,6.0,0.0,7.0,9.0,2.0,6.0,0.0,0.0,5.0,23.0,4.0,1.0,7.0,0.0,0.0,7.0,0.0,0.0,3.0,3.0,SCR11b_(b)
don_t_know_no_answer_percentage,1.1,1.0,0.6,0.0,1.9,2.4,0.0,0.0,0.0,0.0,0.0,0.5,3.0,0.0,1.2,0.0,2.0,0.3,3.0,1.0,0.0,1.2,1.7,0.3,1.3,0.0,0.0,1.0,5.4,1.5,0.2,1.6,0.0,0.4,1.5,0.0,0.0,0.7,0.7,SCR11b_(b)
