,EU27,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,IS,NO,CH,ME,MD,MK,AL,RS,TR,US,file_code
base_total,13124.0,543.0,475.0,544.0,442.0,571.0,497.0,476.0,566.0,566.0,544.0,493.0,545.0,248.0,502.0,488.0,250.0,468.0,249.0,550.0,455.0,553.0,544.0,595.0,459.0,491.0,473.0,537.0,435.0,246.0,470.0,444.0,94.0,93.0,498.0,105.0,469.0,454.0,475.0,SCR16_(b)
base_weighted_total,13124.0,543.0,475.0,544.0,442.0,571.0,497.0,476.0,566.0,566.0,544.0,493.0,545.0,248.0,502.0,488.0,250.0,468.0,249.0,550.0,455.0,553.0,544.0,595.0,459.0,491.0,473.0,537.0,435.0,246.0,470.0,444.0,94.0,93.0,498.0,105.0,469.0,454.0,475.0,SCR16_(b)
products,2953.0,135.0,132.0,90.0,75.0,127.0,66.0,179.0,101.0,121.0,109.0,70.0,102.0,83.0,84.0,82.0,55.0,82.0,127.0,230.0,167.0,136.0,180.0,144.0,45.0,79.0,46.0,84.0,96.0,30.0,114.0,91.0,17.0,34.0,123.0,36.0,125.0,153.0,102.0,SCR16_(b)
products_percentage,22.5,24.9,27.7,16.6,17.0,22.2,13.2,37.7,17.9,21.4,20.1,14.3,18.7,33.3,16.7,16.8,22.2,17.6,51.1,41.8,36.8,24.5,33.1,24.2,9.8,16.0,9.8,15.6,22.1,12.3,24.2,20.5,18.1,36.7,24.6,34.0,26.6,33.7,21.4,SCR16_(b)
services,5907.0,186.0,183.0,234.0,187.0,195.0,280.0,137.0,263.0,288.0,223.0,267.0,285.0,117.0,292.0,264.0,70.0,250.0,69.0,195.0,168.0,286.0,206.0,277.0,251.0,255.0,240.0,268.0,178.0,103.0,154.0,194.0,53.0,25.0,235.0,52.0,185.0,141.0,200.0,SCR16_(b)
services_percentage,45.0,34.3,38.5,43.1,42.3,34.2,56.3,28.7,46.4,50.9,41.1,54.2,52.3,47.1,58.1,54.1,28.1,53.4,27.7,35.5,37.0,51.8,37.8,46.6,54.6,51.9,50.8,49.9,40.9,41.8,32.7,43.6,56.2,26.8,47.1,49.5,39.5,31.1,42.2,SCR16_(b)
both_products_and_services,4125.0,218.0,159.0,218.0,168.0,224.0,150.0,140.0,202.0,155.0,209.0,151.0,157.0,49.0,126.0,142.0,124.0,132.0,53.0,123.0,113.0,129.0,139.0,172.0,159.0,157.0,182.0,164.0,149.0,113.0,198.0,150.0,24.0,34.0,136.0,17.0,159.0,160.0,157.0,SCR16_(b)
both_products_and_services_percentage,31.4,40.2,33.5,40.1,38.0,39.3,30.3,29.4,35.7,27.3,38.4,30.6,28.8,19.6,25.2,29.1,49.5,28.1,21.2,22.3,24.8,23.3,25.6,28.8,34.5,32.1,38.5,30.5,34.1,45.9,42.1,33.8,25.6,36.5,27.4,16.5,33.8,35.2,33.1,SCR16_(b)
don_t_know_no_answer,138.0,3.0,1.0,1.0,12.0,24.0,1.0,20.0,0.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,6.0,2.0,19.0,2.0,5.0,0.0,4.0,21.0,12.0,0.0,5.0,9.0,0.0,0.0,4.0,0.0,0.0,0.0,16.0,SCR16_(b)
don_t_know_no_answer_percentage,1.1,0.5,0.3,0.1,2.8,4.2,0.2,4.2,0.0,0.4,0.5,0.9,0.2,0.0,0.0,0.0,0.3,0.9,0.0,0.5,1.4,0.4,3.5,0.3,1.1,0.0,0.9,4.0,2.8,0.0,1.1,2.1,0.1,0.0,0.9,0.0,0.0,0.0,3.4,SCR16_(b)
