,EU27,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,IS,NO,CH,ME,MD,MK,AL,RS,TR,US
base_total,13124.0,543.0,475.0,544.0,442.0,571.0,497.0,476.0,566.0,566.0,544.0,493.0,545.0,248.0,502.0,488.0,250.0,468.0,249.0,550.0,455.0,553.0,544.0,595.0,459.0,491.0,473.0,537.0,435.0,246.0,470.0,444.0,94.0,93.0,498.0,105.0,469.0,454.0,475.0
base_weighted_total,13124.0,543.0,475.0,544.0,442.0,571.0,497.0,476.0,566.0,566.0,544.0,493.0,545.0,248.0,502.0,488.0,250.0,468.0,249.0,550.0,455.0,553.0,544.0,595.0,459.0,491.0,473.0,537.0,435.0,246.0,470.0,444.0,94.0,93.0,498.0,105.0,469.0,454.0,475.0
manufacturing_c_,1122.0,31.0,41.0,91.0,30.0,45.0,41.0,30.0,43.0,37.0,40.0,65.0,48.0,19.0,53.0,46.0,6.0,37.0,18.0,30.0,34.0,62.0,43.0,54.0,61.0,81.0,41.0,39.0,26.0,16.0,30.0,61.0,11.0,10.0,66.0,9.0,74.0,61.0,30.0
manufacturing_c__percentage,8.5,5.7,8.7,16.6,6.7,7.9,8.2,6.3,7.6,6.5,7.3,13.1,8.8,7.6,10.6,9.5,2.5,8.0,7.4,5.5,7.4,11.1,7.9,9.1,13.3,16.5,8.6,7.3,6.0,6.5,6.3,13.8,11.2,10.8,13.2,8.3,15.7,13.5,6.4
industry_b_d_e_f_,2264.0,110.0,40.0,107.0,78.0,111.0,78.0,117.0,64.0,94.0,100.0,80.0,81.0,40.0,56.0,80.0,32.0,88.0,34.0,95.0,55.0,113.0,77.0,80.0,75.0,120.0,87.0,90.0,88.0,49.0,89.0,66.0,17.0,9.0,58.0,8.0,50.0,41.0,112.0
industry_b_d_e_f__percentage,17.3,20.2,8.4,19.7,17.6,19.4,15.7,24.6,11.4,16.6,18.3,16.3,14.9,16.2,11.2,16.3,12.9,18.9,13.8,17.3,12.1,20.4,14.1,13.4,16.3,24.5,18.3,16.7,20.3,19.9,19.0,14.9,18.1,9.4,11.6,7.8,10.6,9.0,23.6
retail_g_,3217.0,110.0,192.0,112.0,79.0,133.0,97.0,85.0,178.0,159.0,120.0,97.0,155.0,69.0,118.0,113.0,52.0,95.0,61.0,111.0,110.0,137.0,146.0,198.0,80.0,96.0,80.0,96.0,93.0,34.0,72.0,101.0,29.0,39.0,188.0,48.0,170.0,185.0,97.0
retail_g__percentage,24.5,20.3,40.5,20.6,17.9,23.3,19.5,17.9,31.4,28.1,22.1,19.7,28.4,27.6,23.5,23.1,20.6,20.3,24.6,20.2,24.3,24.8,26.9,33.3,17.4,19.6,16.9,17.9,21.3,13.9,15.3,22.7,30.9,42.3,37.7,45.8,36.3,40.7,20.4
services_h_i_j_k_l_m_,6521.0,292.0,201.0,234.0,255.0,282.0,281.0,244.0,281.0,276.0,285.0,251.0,261.0,120.0,274.0,249.0,160.0,247.0,135.0,314.0,256.0,241.0,278.0,263.0,243.0,193.0,266.0,312.0,228.0,147.0,279.0,216.0,37.0,35.0,187.0,40.0,176.0,167.0,236.0
services_h_i_j_k_l_m__percentage,49.7,53.8,42.4,43.1,57.7,49.4,56.6,51.2,49.7,48.8,52.3,50.9,47.9,48.5,54.6,51.1,63.9,52.8,54.2,57.1,56.2,43.6,51.1,44.2,53.0,39.4,56.2,58.1,52.4,59.8,59.4,48.6,39.8,37.5,37.5,38.1,37.5,36.8,49.6
