,EU27,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,IS,NO,CH,ME,MD,MK,AL,RS,TR,US
base_total,13124.0,543.0,475.0,544.0,442.0,571.0,497.0,476.0,566.0,566.0,544.0,493.0,545.0,248.0,502.0,488.0,250.0,468.0,249.0,550.0,455.0,553.0,544.0,595.0,459.0,491.0,473.0,537.0,435.0,246.0,470.0,444.0,94.0,93.0,498.0,105.0,469.0,454.0,475.0
base_weighted_total,13124.0,543.0,475.0,544.0,442.0,571.0,497.0,476.0,566.0,566.0,544.0,493.0,545.0,248.0,502.0,488.0,250.0,468.0,249.0,550.0,455.0,553.0,544.0,595.0,459.0,491.0,473.0,537.0,435.0,246.0,470.0,444.0,94.0,93.0,498.0,105.0,469.0,454.0,475.0
yes,2767.0,130.0,58.0,77.0,103.0,122.0,68.0,114.0,59.0,127.0,151.0,39.0,113.0,14.0,55.0,79.0,66.0,67.0,56.0,168.0,93.0,61.0,140.0,88.0,74.0,56.0,143.0,219.0,91.0,49.0,119.0,140.0,7.0,22.0,67.0,13.0,59.0,35.0,108.0
yes_percentage,21.1,23.9,12.3,14.1,23.3,21.3,13.8,23.9,10.5,22.4,27.7,7.9,20.8,5.8,11.1,16.2,26.5,14.3,22.4,30.5,20.4,11.1,25.7,14.8,16.2,11.5,30.2,40.7,20.9,19.7,25.4,31.5,7.9,23.9,13.5,12.8,12.6,7.8,22.7
no_but_you_are_planning_to_define_a_strategy,2532.0,108.0,97.0,97.0,53.0,56.0,91.0,173.0,165.0,80.0,103.0,112.0,164.0,31.0,38.0,122.0,76.0,66.0,131.0,144.0,55.0,60.0,149.0,168.0,54.0,80.0,30.0,44.0,110.0,59.0,76.0,50.0,35.0,12.0,75.0,11.0,89.0,66.0,60.0
no_but_you_are_planning_to_define_a_strategy_percentage,19.3,19.9,20.5,17.9,11.9,9.8,18.2,36.4,29.2,14.1,18.9,22.7,30.0,12.7,7.5,24.9,30.5,14.1,52.6,26.3,12.1,10.9,27.3,28.2,11.8,16.3,6.4,8.1,25.3,23.8,16.1,11.3,37.6,12.6,15.0,10.4,18.9,14.5,12.6
no_and_you_are_not_planning_to_do_so,6882.0,274.0,279.0,358.0,255.0,375.0,325.0,78.0,312.0,335.0,247.0,299.0,230.0,163.0,346.0,252.0,84.0,309.0,46.0,189.0,155.0,392.0,141.0,311.0,293.0,335.0,286.0,246.0,209.0,123.0,260.0,210.0,31.0,29.0,257.0,48.0,209.0,323.0,277.0
no_and_you_are_not_planning_to_do_so_percentage,52.4,50.5,58.8,65.8,57.7,65.7,65.4,16.5,55.2,59.2,45.4,60.6,42.2,65.8,69.0,51.7,33.7,66.0,18.3,34.4,34.1,70.9,25.9,52.3,63.8,68.2,60.4,45.8,48.0,50.2,55.3,47.3,33.5,31.4,51.7,46.1,44.6,71.1,58.4
you_are_already_climate_neutral_do_not_read_out_,497.0,3.0,21.0,4.0,21.0,4.0,2.0,41.0,17.0,4.0,21.0,19.0,38.0,27.0,16.0,31.0,15.0,12.0,1.0,24.0,123.0,14.0,36.0,24.0,36.0,8.0,1.0,18.0,11.0,0.0,1.0,16.0,10.0,23.0,67.0,28.0,75.0,14.0,5.0
you_are_already_climate_neutral_do_not_read_out__percentage,3.8,0.6,4.5,0.7,4.8,0.7,0.5,8.7,3.0,0.6,3.9,3.9,6.9,10.8,3.1,6.3,6.0,2.6,0.6,4.3,27.0,2.5,6.7,4.1,7.8,1.6,0.1,3.3,2.6,0.0,0.3,3.6,10.6,24.7,13.5,26.7,15.9,3.1,1.1
don_t_know_no_answer,447.0,28.0,19.0,8.0,10.0,14.0,11.0,70.0,12.0,21.0,22.0,24.0,0.0,12.0,47.0,4.0,8.0,14.0,15.0,25.0,29.0,26.0,79.0,4.0,2.0,12.0,14.0,11.0,14.0,15.0,14.0,28.0,10.0,7.0,31.0,4.0,38.0,16.0,25.0
don_t_know_no_answer_percentage,3.4,5.1,4.0,1.4,2.3,2.5,2.2,14.6,2.1,3.7,4.1,4.8,0.0,4.9,9.4,0.8,3.3,3.0,6.1,4.5,6.3,4.6,14.5,0.7,0.4,2.5,2.9,2.1,3.1,6.2,2.9,6.3,10.4,7.5,6.3,3.9,8.0,3.6,5.2
total_no_,9413.0,382.0,377.0,455.0,308.0,431.0,416.0,251.0,478.0,415.0,350.0,411.0,394.0,195.0,384.0,374.0,161.0,375.0,176.0,334.0,210.0,452.0,289.0,479.0,347.0,415.0,316.0,289.0,319.0,182.0,336.0,260.0,67.0,41.0,332.0,59.0,298.0,388.0,337.0
total_no__percentage,71.7,70.4,79.3,83.7,69.7,75.5,83.6,52.8,84.4,73.3,64.3,83.4,72.2,78.5,76.4,76.7,64.2,80.1,70.8,60.7,46.2,81.8,53.2,80.5,75.7,84.5,66.8,53.9,73.4,74.0,71.4,58.5,71.0,44.0,66.7,56.6,63.5,85.6,71.0
