criteria,file_code,EU27,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,IS,NO,CH,ME,MD,MK,AL,RS,TR,US
base_total,brk_SCR14,11376.0,463.0,387.0,514.0,355.0,341.0,470.0,365.0,536.0,508.0,491.0,399.0,495.0,142.0,417.0,468.0,203.0,358.0,207.0,497.0,383.0,483.0,490.0,566.0,425.0,435.0,460.0,518.0,373.0,234.0,438.0,349.0,74.0,74.0,304.0,87.0,381.0,221.0,274.0
base_weighted_total,brk_SCR14,11408.0,465.0,380.0,507.0,363.0,358.0,457.0,380.0,540.0,502.0,491.0,422.0,502.0,157.0,435.0,464.0,212.0,382.0,206.0,501.0,363.0,475.0,488.0,558.0,436.0,445.0,454.0,506.0,370.0,225.0,421.0,355.0,76.0,79.0,317.0,92.0,395.0,239.0,292.0
up_to_100_000,brk_SCR14,3003.0,72.0,259.0,197.0,40.0,57.0,209.0,98.0,191.0,138.0,55.0,174.0,31.0,53.0,214.0,229.0,77.0,131.0,50.0,126.0,95.0,204.0,184.0,396.0,228.0,236.0,191.0,102.0,109.0,7.0,60.0,58.0,31.0,60.0,232.0,62.0,220.0,41.0,81.0
up_to_100_000_percentage,brk_SCR14,26.3,15.6,68.3,38.9,11.0,16.0,45.8,25.7,35.4,27.4,11.2,41.3,6.3,33.6,49.2,49.4,36.2,34.3,24.5,25.1,26.3,43.1,37.8,71.1,52.4,52.9,42.1,20.2,29.5,3.2,14.2,16.4,41.0,75.2,73.3,66.8,55.7,17.2,27.6
_100_001_500_000,brk_SCR14,4068.0,158.0,74.0,217.0,119.0,121.0,150.0,160.0,212.0,208.0,248.0,157.0,148.0,69.0,137.0,159.0,66.0,126.0,100.0,138.0,118.0,167.0,117.0,111.0,116.0,136.0,127.0,196.0,127.0,25.0,77.0,75.0,30.0,14.0,49.0,15.0,109.0,86.0,64.0
_100_001_500_000_percentage,brk_SCR14,35.7,34.0,19.4,42.9,32.9,33.9,32.8,42.1,39.3,41.4,50.4,37.2,29.5,43.8,31.6,34.2,31.1,33.1,48.6,27.6,32.5,35.1,23.9,20.0,26.6,30.6,27.9,38.8,34.2,11.3,18.3,21.2,40.2,17.2,15.3,16.0,27.5,36.2,21.9
_500_001_2_000_000,brk_SCR14,2655.0,171.0,34.0,72.0,122.0,113.0,73.0,77.0,88.0,102.0,141.0,65.0,167.0,30.0,54.0,59.0,31.0,92.0,44.0,98.0,84.0,66.0,120.0,34.0,54.0,56.0,84.0,118.0,85.0,151.0,184.0,106.0,12.0,5.0,26.0,8.0,48.0,45.0,103.0
_500_001_2_000_000_percentage,brk_SCR14,23.3,36.7,8.9,14.2,33.7,31.6,16.0,20.3,16.3,20.3,28.6,15.4,33.3,19.3,12.4,12.7,14.8,24.1,21.4,19.6,23.3,14.0,24.5,6.1,12.5,12.5,18.6,23.4,23.1,66.8,43.8,29.8,16.5,5.7,8.1,8.7,12.2,18.9,35.3
_2_000_001_10_000_000,brk_SCR14,1029.0,51.0,10.0,17.0,62.0,55.0,20.0,35.0,39.0,48.0,35.0,21.0,71.0,3.0,21.0,15.0,27.0,29.0,5.0,57.0,41.0,18.0,38.0,10.0,32.0,14.0,36.0,70.0,35.0,36.0,84.0,73.0,1.0,1.0,7.0,4.0,16.0,44.0,36.0
_2_000_001_10_000_000_percentage,brk_SCR14,9.0,11.0,2.7,3.3,17.1,15.4,4.4,9.2,7.2,9.5,7.2,4.9,14.2,2.2,4.9,3.1,12.7,7.6,2.6,11.3,11.3,3.9,7.8,1.8,7.2,3.1,8.0,13.9,9.5,15.8,19.9,20.5,1.3,1.6,2.3,4.0,3.9,18.6,12.4
more_than_10_000_000,brk_SCR14,654.0,13.0,3.0,4.0,19.0,11.0,5.0,11.0,10.0,7.0,13.0,5.0,84.0,2.0,8.0,3.0,11.0,3.0,6.0,82.0,24.0,19.0,29.0,6.0,6.0,4.0,15.0,19.0,14.0,6.0,16.0,43.0,1.0,0.0,3.0,4.0,3.0,22.0,8.0
more_than_10_000_000_percentage,brk_SCR14,5.7,2.7,0.7,0.7,5.3,3.1,1.0,2.8,1.8,1.4,2.5,1.2,16.8,1.1,1.9,0.6,5.3,0.8,2.8,16.4,6.6,4.0,5.9,1.1,1.3,0.9,3.4,3.7,3.8,2.9,3.8,12.1,1.0,0.2,1.0,4.4,0.7,9.2,2.8
