,file_code,EU27,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,IS,NO,CH,ME,MD,MK,AL,RS,TR,US
base_total,SCR14,13124.0,543.0,475.0,544.0,442.0,571.0,497.0,476.0,566.0,566.0,544.0,493.0,545.0,248.0,502.0,488.0,250.0,468.0,249.0,550.0,455.0,553.0,544.0,595.0,459.0,491.0,473.0,537.0,435.0,246.0,470.0,444.0,94.0,93.0,498.0,105.0,469.0,454.0,475.0
base_weighted_total,SCR14,13124.0,543.0,475.0,544.0,442.0,571.0,497.0,476.0,566.0,566.0,544.0,493.0,545.0,248.0,502.0,488.0,250.0,468.0,249.0,550.0,455.0,553.0,544.0,595.0,459.0,491.0,473.0,537.0,435.0,246.0,470.0,444.0,94.0,93.0,498.0,105.0,469.0,454.0,475.0
less_than_25_000_euro,SCR14,769.0,21.0,106.0,44.0,7.0,9.0,41.0,16.0,26.0,6.0,5.0,48.0,14.0,16.0,53.0,69.0,9.0,20.0,9.0,42.0,4.0,54.0,50.0,192.0,50.0,68.0,80.0,56.0,7.0,0.0,22.0,25.0,14.0,26.0,131.0,47.0,66.0,23.0,20.0
less_than_25_000_euro_percentage,SCR14,5.9,3.9,22.4,8.2,1.6,1.5,8.2,3.3,4.6,1.1,0.9,9.8,2.6,6.5,10.6,14.2,3.6,4.3,3.5,7.6,0.9,9.8,9.2,32.3,10.8,13.8,16.9,10.5,1.5,0.1,4.7,5.6,14.6,28.4,26.3,44.9,14.1,5.1,4.1
more_than_25_000_to_50_000_euro,SCR14,978.0,23.0,99.0,68.0,8.0,15.0,103.0,38.0,69.0,50.0,11.0,52.0,12.0,11.0,68.0,72.0,45.0,34.0,24.0,41.0,42.0,81.0,40.0,115.0,91.0,93.0,42.0,21.0,46.0,0.0,16.0,11.0,3.0,21.0,62.0,11.0,80.0,4.0,32.0
more_than_25_000_to_50_000_euro_percentage,SCR14,7.5,4.3,20.8,12.5,1.8,2.7,20.8,7.9,12.2,8.8,2.0,10.6,2.1,4.3,13.6,14.8,18.1,7.3,9.6,7.4,9.2,14.6,7.4,19.4,19.9,18.9,8.9,3.9,10.6,0.0,3.4,2.4,2.7,23.0,12.5,10.7,17.0,0.9,6.6
more_than_50_000_to_100_000_euro,SCR14,1256.0,28.0,54.0,85.0,25.0,33.0,65.0,44.0,96.0,82.0,39.0,74.0,5.0,26.0,93.0,88.0,22.0,77.0,18.0,44.0,49.0,70.0,94.0,89.0,88.0,75.0,69.0,25.0,56.0,7.0,22.0,23.0,15.0,12.0,39.0,3.0,74.0,14.0,30.0
more_than_50_000_to_100_000_euro_percentage,SCR14,9.6,5.1,11.4,15.6,5.6,5.8,13.1,9.3,17.0,14.5,7.2,14.9,1.0,10.4,18.4,18.0,9.0,16.4,7.1,7.9,10.8,12.6,17.3,14.9,19.1,15.3,14.6,4.6,13.0,2.9,4.6,5.2,15.7,12.7,7.9,3.1,15.9,3.1,6.2
more_than_100_000_to_250_000_euro,SCR14,2106.0,67.0,49.0,145.0,72.0,67.0,85.0,98.0,104.0,101.0,96.0,87.0,92.0,39.0,69.0,103.0,26.0,62.0,47.0,45.0,70.0,89.0,69.0,72.0,66.0,84.0,87.0,126.0,72.0,0.0,37.0,35.0,20.0,12.0,37.0,11.0,55.0,33.0,34.0
more_than_100_000_to_250_000_euro_percentage,SCR14,16.0,12.3,10.3,26.7,16.3,11.8,17.0,20.5,18.3,17.8,17.6,17.6,17.0,15.5,13.8,21.1,10.2,13.3,18.9,8.2,15.3,16.1,12.7,12.1,14.4,17.1,18.3,23.5,16.5,0.1,8.0,7.8,21.4,12.5,7.4,10.8,11.8,7.4,7.1
