file_code,group_id,country_code,score,group_weight,weighted_score,scaled_score
DX1,4,AL,0.75,0.1,0.07500000000000001,1.4848296560294498
DX1,4,AT,3.271604938271605,0.1,0.3271604938271605,3.3472544621340607
DX1,4,BG,2.888888888888889,0.1,0.2888888888888889,3.064585336115736
DX1,4,CH,2.8472222222222223,0.1,0.28472222222222227,3.033810874815354
DX1,4,DE,1.9824561403508771,0.1,0.19824561403508772,2.395105827124965
DX1,4,DK,2.640625,0.1,0.26406250000000003,2.8812208375342916
DX1,4,ES,2.9625,0.1,0.29625,3.1189535510797444
DX1,4,FI,2.5652173913043477,0.1,0.2565217391304348,2.825525752680883
DX1,4,FR,1.9830508474576272,0.1,0.19830508474576272,2.395545070105167
DX1,4,IE,4.861111111111111,0.1,0.4861111111111111,4.521243171000492
DX1,4,IT,2.72972972972973,0.1,0.272972972972973,2.947032438896258
DX1,4,LU,2.363636363636364,0.1,0.23636363636363644,2.6766406118442516
DX1,4,LV,1.2083333333333333,0.1,0.12083333333333333,1.8233487303336537
DX1,4,ME,3.7142857142857144,0.1,0.37142857142857144,3.6742127599709256
DX1,4,MT,1.6428571428571428,0.1,0.16428571428571428,2.1442823981804966
DX1,4,NL,3.84,0.1,0.384,3.767063706065793
DX1,4,PL,1.5,0.1,0.15000000000000002,2.0387699594363293
DX1,4,PT,4.3,0.1,0.43,4.106813758822012
DX1,4,RS,2.2222222222222223,0.1,0.22222222222222224,2.5721939553096207
DX1,4,SE,2.3010752688172045,0.1,0.23010752688172045,2.630433796050129
DX1,4,SK,2.973684210526316,0.1,0.2973684210526316,3.1272140643761626
DX1,4,TR,1.3571428571428572,0.1,0.13571428571428573,1.9332575206921618
DX1,4,US,3.0972222222222223,0.1,0.30972222222222223,3.2184576426176466
DX3,4,AL,4.8,0.1,0.48,4.4761072944265985
DX3,4,AT,7.861,0.1,0.7861,6.736922319397877
DX3,4,BG,6.77,0.1,0.677,5.931123824708669
DX3,4,CH,6.659,0.1,0.6659,5.849140659804451
DX3,4,DE,6.731,0.1,0.6731,5.9023189289315106
DX3,4,DK,6.071,0.1,0.6071,5.414851461933457
DX3,4,ES,8.134,0.1,0.8134000000000001,6.938556589837981
DX3,4,FI,6.086,0.1,0.6086,5.425930268001595
DX3,4,FR,6.613,0.1,0.6613000000000001,5.81516565452883
DX3,4,IE,8.934,0.1,0.8934,7.529426246805318
