group,count,mean,std,min,25%,50%,75%,max,shapiro_stat,shapiro_p,dagostino_stat,dagostino_p,is_normal
group1,304.0,4.659040075235767,2.131917915645821,1.0,2.8956667675706482,4.137143468347652,6.450429170947109,10.0,0.9457197849529703,3.79415516601955e-09,58.222682173876265,2.275648625745365e-13,False
group2,152.0,3.868166591089481,2.658284259574678,1.0,1.644454047059789,2.435367022419424,5.998728391097892,9.999999999999998,0.8627828564603036,1.3871439199337155e-10,27.530789399738822,1.0513929016983649e-06,False
group3,76.0,4.325001148745374,3.2281551770460895,1.0,1.441356250799751,2.025969163221551,7.54175941978437,10.0,0.8031737498297821,1.0957017539016497e-08,168.30197528327656,2.8424342039894898e-37,False
group4,266.0,3.4806019818043126,2.1794573184725294,1.0,1.6468356811343974,2.3734633601084174,5.169927148222447,10.0,0.8658776692464117,1.7884287878886848e-14,26.8918749271116,1.447116700566154e-06,False
